station_id,lat,lon,alt,year,month,melt_peak,swe,pre,SDI,PSI,PET,peak_date,spei_1,spei_3,spei_6,spei_12,tem_avg_y,hot_days,txx
54181,0.7631426240918905,1.270860588319294,-0.6828702014897016,1980,1,0.7975273414188038,2.7109791520642044,1.215502832834002,-0.10814890360968808,1.7621887916373051,-0.980173224810648,1980-04-03,0.16695491916317287,,,,-0.14121504461079112,-0.4944751426753438,-0.7899084271919571
54181,0.7631426240918905,1.270860588319294,-0.6828702014897016,1980,2,0.7975273414188038,2.7109791520642044,1.215502832834002,-0.10814890360968808,1.7621887916373051,-0.980173224810648,1980-04-03,0.654569674421666,,,,-0.14121504461079112,-0.4944751426753438,-0.7899084271919571
54181,0.7631426240918905,1.270860588319294,-0.6828702014897016,1980,3,0.7975273414188038,2.7109791520642044,1.215502832834002,-0.10814890360968808,1.7621887916373051,-0.980173224810648,1980-04-03,-0.2501463781484251,0.29054356724768193,,,-0.14121504461079112,-0.4944751426753438,-0.7899084271919571
54181,0.7631426240918905,1.270860588319294,-0.6828702014897016,1980,4,0.7975273414188038,2.7109791520642044,1.215502832834002,-0.10814890360968808,1.7621887916373051,-0.6927805700480688,1980-04-03,1.1448521745948044,0.8616097285129447,,,-0.14121504461079112,-0.4944751426753438,-0.7899084271919571
54181,0.7631426240918905,1.270860588319294,-0.6828702014897016,1980,5,0.7975273414188038,2.7109791520642044,1.215502832834002,-0.10814890360968808,1.7621887916373051,0.5341469664579558,1980-04-03,1.2977220996468133,1.1626695454505764,,,-0.14121504461079112,-0.4944751426753438,-0.7899084271919571
54181,0.7631426240918905,1.270860588319294,-0.6828702014897016,1980,6,0.7975273414188038,2.7109791520642044,1.215502832834002,-0.10814890360968808,1.7621887916373051,1.3264084305748511,1980-04-03,1.4002828006781665,1.6799491969204905,1.3178551134062315,,-0.14121504461079112,-0.4944751426753438,-0.7899084271919571
54181,0.7631426240918905,1.270860588319294,-0.6828702014897016,1980,7,0.7975273414188038,2.7109791520642044,1.215502832834002,-0.10814890360968808,1.7621887916373051,1.4733350236336795,1980-04-03,1.5882685800698366,1.9237655535257459,1.8113068430378743,,-0.14121504461079112,-0.4944751426753438,-0.7899084271919571
54181,0.7631426240918905,1.270860588319294,-0.6828702014897016,1980,8,0.7975273414188038,2.7109791520642044,1.215502832834002,-0.10814890360968808,1.7621887916373051,1.2475191769394651,1980-04-03,-1.8282481759891571,1.0493708350030304,1.1878939103175334,,-0.14121504461079112,-0.4944751426753438,-0.7899084271919571
54181,0.7631426240918905,1.270860588319294,-0.6828702014897016,1980,9,0.7975273414188038,2.7109791520642044,1.215502832834002,-0.10814890360968808,1.7621887916373051,0.18648101460645683,1980-04-03,-0.730927637453893,-0.4320286018687871,1.1104041454363354,,-0.14121504461079112,-0.4944751426753438,-0.7899084271919571
54181,0.7631426240918905,1.270860588319294,-0.6828702014897016,1980,10,0.7975273414188038,2.7109791520642044,1.215502832834002,-0.10814890360968808,1.7621887916373051,-0.6446053634679335,1980-04-03,1.3601761744912844,-0.7647749794102007,1.2505020105852611,,-0.14121504461079112,-0.4944751426753438,-0.7899084271919571
54181,0.7631426240918905,1.270860588319294,-0.6828702014897016,1980,11,0.7975273414188038,2.7109791520642044,1.215502832834002,-0.10814890360968808,1.7621887916373051,-0.980173224810648,1980-04-03,0.704105174901319,0.9394181261429032,1.0212253814109118,,-0.14121504461079112,-0.4944751426753438,-0.7899084271919571
54181,0.7631426240918905,1.270860588319294,-0.6828702014897016,1980,12,0.7975273414188038,2.7109791520642044,1.215502832834002,-0.10814890360968808,1.7621887916373051,-0.980173224810648,1980-04-03,0.4435819541925975,1.1428245862138147,0.6467250296614168,1.1137485987692297,-0.14121504461079112,-0.4944751426753438,-0.7899084271919571
54181,0.7631426240918905,1.270860588319294,-0.6828702014897016,1981,1,0.5263814807616457,1.342247337065335,1.7725489293644643,-0.18812081599044553,1.1808371196896645,-0.980173224810648,1981-04-01,-0.3802778219646931,0.4206887173345503,-0.28948176356767186,1.0692915905455491,-0.2833273182774869,-0.4944751426753438,-0.5417676179408832
54181,0.7631426240918905,1.270860588319294,-0.6828702014897016,1981,2,0.5263814807616457,1.342247337065335,1.7725489293644643,-0.18812081599044553,1.1808371196896645,-0.980173224810648,1981-04-01,-0.05787122239039537,-0.07650699244341928,0.5956006607572988,0.9771304800040851,-0.2833273182774869,-0.4944751426753438,-0.5417676179408832
54181,0.7631426240918905,1.270860588319294,-0.6828702014897016,1981,3,0.5263814807616457,1.342247337065335,1.7725489293644643,-0.18812081599044553,1.1808371196896645,-0.980173224810648,1981-04-01,0.7449805486542977,0.21905071476878832,0.8247657951122035,1.1047130278291675,-0.2833273182774869,-0.4944751426753438,-0.5417676179408832
54181,0.7631426240918905,1.270860588319294,-0.6828702014897016,1981,4,0.5263814807616457,1.342247337065335,1.7725489293644643,-0.18812081599044553,1.1808371196896645,-0.21959324659355484,1981-04-01,-1.1546133374774017,-0.603192396700793,-0.1939021562982771,0.8249061590941194,-0.2833273182774869,-0.4944751426753438,-0.5417676179408832
54181,0.7631426240918905,1.270860588319294,-0.6828702014897016,1981,5,0.5263814807616457,1.342247337065335,1.7725489293644643,-0.18812081599044553,1.1808371196896645,0.41957768693638886,1981-04-01,1.2287609923695317,0.44394843671743145,0.19440868514666457,0.7892616765951092,-0.2833273182774869,-0.4944751426753438,-0.5417676179408832
