year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,8.6000,9.4700,-1.7500,11.2200,96.4646
1981,27.9000,11.0900,-1.1800,12.2700,342.4314
1982,14.0000,11.2700,0.3200,10.9500,153.2486
1983,17.5000,11.1300,0.5300,10.6000,185.5283
1984,18.9000,9.7600,-0.4100,10.1700,192.1648
1985,20.7000,9.1900,-0.9900,10.1800,210.6400
1986,23.0000,10.8200,-1.2800,12.1000,278.3383
1987,16.7000,9.1100,0.0300,9.0800,151.6312
1988,13.0000,9.9000,0.4200,9.4800,123.2427
1989,15.2000,11.3300,1.3300,10.0100,152.1234
1990,40.3000,10.0600,0.0200,10.0400,404.6509
1991,17.9000,9.6700,0.7000,8.9600,160.4376
1992,53.8000,10.4300,1.0900,9.3400,502.5660
1993,19.5000,10.5800,1.0400,9.5400,186.0385
1994,12.7000,10.9200,0.5400,10.3800,131.8472
1995,14.4000,10.8200,1.4500,9.3700,134.9367
1996,19.2000,10.1500,0.4500,9.7000,186.3340
1997,28.9000,10.7400,0.4000,10.3500,299.0229
1998,29.2000,11.4600,0.7900,10.6600,311.3327
1999,1.3000,10.9300,2.1800,8.7500,11.3713
2000,30.1000,11.0200,-0.2900,11.3100,340.2904
2001,29.5000,11.3900,0.3100,11.0900,327.0602
2002,6.4000,12.1500,2.2000,9.9500,63.7080
2003,22.8000,10.7200,0.1600,10.5700,240.9580
2004,6.8000,11.4600,1.4000,10.0600,68.4068
2005,17.5000,10.5100,-0.0100,10.5200,184.0768
2006,42.3000,10.5000,-0.0300,10.5300,445.3291
2007,17.5000,11.1900,2.3700,8.8300,154.4506
2008,6.8000,11.9700,0.7300,11.2400,76.4534
2009,18.6000,11.6600,1.2500,10.4100,193.5811
2010,42.9000,9.6100,-0.5600,10.1700,436.2370
2011,22.0000,10.5200,-0.6200,11.1300,244.9014
2012,3.0000,10.8900,-0.2200,11.1100,33.3266
2013,43.0000,9.5400,-1.2100,10.7500,462.1150
2014,3.9000,12.8000,1.5700,11.2300,43.7968
2015,12.8000,11.7000,1.1500,10.5500,135.0551
2016,21.9000,12.6000,0.5500,12.0500,263.9787
2017,21.4000,12.5600,1.9600,10.6000,226.7888
2018,24.2000,11.7200,0.0500,11.6700,282.5087
2019,16.5000,12.6400,0.9600,11.6800,192.7053
