year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,5.6000,6.8800,-7.7800,14.6600,82.0948
1981,11.8000,8.1600,-6.5500,14.7100,173.5236
1982,8.6000,7.3200,-6.0300,13.3500,114.7876
1983,7.0000,6.4500,-7.5800,14.0200,98.1713
1984,3.7000,7.4600,-7.7600,15.2200,56.2986
1985,10.3000,7.4500,-7.7100,15.1600,156.1930
1986,1.8000,7.2700,-6.7200,13.9900,25.1851
1987,8.0000,7.8200,-4.1900,12.0100,96.0761
1988,10.1000,6.2900,-6.0400,12.3300,124.5089
1989,22.4000,6.8300,-7.3000,14.1300,316.5959
1990,19.4000,7.4500,-5.1800,12.6300,245.0656
1991,8.2000,7.0800,-5.3000,12.3900,101.5738
1992,11.5000,7.8400,-6.8100,14.6600,168.5641
1993,7.8000,7.1500,-6.3000,13.4500,104.9092
1994,10.1000,8.2400,-6.4700,14.7000,148.5068
1995,7.1000,7.7600,-5.7200,13.4900,95.7456
1996,10.9000,6.3200,-6.8500,13.1700,143.5424
1997,9.6000,9.1100,-5.1800,14.2900,137.1608
1998,5.3000,8.5200,-5.6200,14.1400,74.9165
1999,0.5000,8.6500,-4.1500,12.8000,6.3989
2000,10.0000,9.3200,-6.0900,15.4100,154.0745
2001,10.6000,8.4200,-3.9900,12.4100,131.5306
2002,12.1000,8.5000,-4.0100,12.5100,151.3836
2003,11.6000,7.9600,-4.8600,12.8200,148.7602
2004,6.0000,9.9300,-4.8600,14.7900,88.7323
2005,13.1000,9.0500,-5.2400,14.2900,187.2129
2006,13.1000,9.5100,-5.4800,15.0000,196.4525
2007,7.7000,9.7400,-3.5400,13.2800,102.2575
2008,20.0000,10.3500,-7.6200,17.9600,359.2860
2009,15.6000,9.2800,-3.7600,13.0300,203.3279
2010,9.0000,8.2800,-3.7700,12.0400,108.3850
2011,15.1000,8.1100,-5.7900,13.9000,209.8856
2012,16.2000,8.9000,-6.5200,15.4300,249.9421
2013,15.3000,10.9300,-4.2300,15.1700,232.0559
2014,15.5000,9.5800,-4.1100,13.6800,212.0655
2015,4.0000,9.1400,-3.4200,12.5600,50.2235
2016,24.2000,9.3800,-5.4500,14.8300,358.8561
2017,12.1000,8.8100,-2.4700,11.2800,136.4994
2018,13.0000,11.0000,-5.3500,16.3500,212.5638
2019,17.9000,9.3600,-5.7400,15.0900,270.1685
