year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,5.6000,7.9900,-6.6900,14.6800,82.2096
1981,5.5000,9.0200,-5.7200,14.7300,81.0312
1982,12.6000,7.9400,-5.5200,13.4500,169.4880
1983,7.2000,6.6800,-7.2900,13.9700,100.6110
1984,1.1000,7.5600,-7.2300,14.7900,16.2660
1985,2.8000,8.0200,-6.5700,14.6000,40.8662
1986,1.9000,7.7900,-6.1100,13.9000,26.4085
1987,6.1000,7.8700,-4.4300,12.3000,75.0411
1988,11.2000,7.1900,-6.0400,13.2300,148.1732
1989,16.2000,7.5100,-6.4400,13.9600,226.0749
1990,17.1000,7.5600,-5.9200,13.4800,230.5410
1991,10.7000,7.5900,-5.5400,13.1300,140.5171
1992,9.8000,8.0500,-6.7800,14.8300,145.3365
1993,13.5000,7.9700,-6.1900,14.1500,191.0648
1994,7.9000,8.5200,-5.9500,14.4700,114.3273
1995,9.3000,7.6600,-5.8200,13.4800,125.3932
1996,8.0000,6.7200,-6.6200,13.3400,106.6887
1997,2.0000,9.2600,-5.7600,15.0200,30.0397
1998,2.3000,9.1700,-5.8900,15.0600,34.6345
1999,0.2000,8.5900,-4.5200,13.1100,2.6218
2000,6.7000,9.3200,-6.1100,15.4400,103.4286
2001,10.7000,7.8300,-4.5200,12.3500,132.1845
2002,7.1000,8.5700,-4.4700,13.0400,92.5727
2003,1.7000,8.4800,-4.7200,13.2000,22.4406
2004,4.0000,9.3300,-5.0200,14.3500,57.3965
2005,8.4000,9.0000,-4.8300,13.8200,116.1168
2006,16.0000,8.7800,-5.6300,14.4100,230.5677
2007,5.3000,9.0800,-4.6700,13.7400,72.8365
2008,13.3000,9.9500,-7.3100,17.2600,229.5861
2009,11.7000,9.2900,-4.3400,13.6300,159.4487
2010,2.9000,7.9800,-4.6300,12.6100,36.5831
2011,4.4000,8.0200,-6.8000,14.8300,65.2304
2012,10.7000,8.7900,-7.1300,15.9100,170.2844
2013,14.8000,10.6600,-5.6400,16.2900,241.1388
2014,13.5000,9.1500,-5.2800,14.4300,194.7460
2015,9.1000,9.3800,-4.3400,13.7200,124.8665
2016,9.9000,9.5800,-5.9300,15.5100,153.5716
2017,8.1000,8.6000,-3.3000,11.8900,96.3452
2018,13.0000,10.6500,-6.1300,16.7800,218.1413
2019,12.2000,9.6800,-5.8000,15.4800,188.8345
