year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,3.9000,8.6900,-10.3600,19.0500,74.3069
1981,7.5000,10.9900,-9.9700,20.9600,157.2100
1982,0.2000,10.6000,-7.1900,17.7900,3.5584
1983,1.3000,10.7100,-8.1800,18.9000,24.5639
1984,0.1000,9.1700,-9.1500,18.3200,1.8319
1985,28.2000,8.8600,-11.2200,20.0800,566.3411
1986,2.4000,10.2900,-9.6200,19.9000,47.7687
1987,12.8000,9.0200,-7.8300,16.8600,215.7585
1988,4.2000,8.9000,-7.0900,16.0000,67.1813
1989,2.5000,11.8700,-5.8500,17.7200,44.3071
1990,16.1000,10.0800,-7.9800,18.0600,290.7913
1991,1.1000,9.0000,-7.0000,16.0000,17.6037
1992,3.8000,9.9800,-6.4800,16.4600,62.5507
1993,1.9000,10.3000,-6.9500,17.2600,32.7896
1994,3.0000,10.4000,-7.0800,17.4700,52.4203
1995,7.3000,9.2200,-6.7200,15.9500,116.4228
1996,2.8000,10.1200,-7.5300,17.6500,49.4116
1997,3.2000,10.6100,-6.3000,16.9100,54.1217
1998,9.0000,12.2400,-6.4400,18.6800,168.0826
1999,0.3000,9.7600,-5.3700,15.1300,4.5396
2000,5.3000,10.7100,-9.1200,19.8300,105.0852
2001,4.2000,11.3700,-8.5100,19.8800,83.4989
2002,0.8000,12.1900,-5.4600,17.6400,14.1158
2003,2.8000,11.0300,-6.6800,17.7100,49.5954
2004,5.2000,11.3700,-5.4000,16.7600,87.1733
2005,5.0000,9.9100,-8.0700,17.9800,89.8988
2006,3.7000,10.1900,-7.7300,17.9200,66.2884
2007,1.4000,10.1700,-4.8700,15.0400,21.0507
2008,3.9000,11.5300,-6.8000,18.3300,71.4760
2009,15.9000,11.8700,-6.0700,17.9400,285.2387
2010,10.9000,8.0400,-8.6900,16.7300,182.3954
2011,0.0000,10.1800,-7.3700,17.5500,0.0000
2012,0.6000,10.9000,-8.5900,19.4800,11.6908
2013,6.7000,9.4200,-9.4100,18.8200,126.1139
2014,3.0700,11.6700,-6.2100,17.8800,54.8376
2015,6.8000,11.0800,-6.0400,17.1200,116.4492
2016,5.3000,11.4800,-7.6100,19.0900,101.1787
2017,8.7000,11.6900,-5.6000,17.3000,150.4825
2018,0.0000,11.7800,-8.7400,20.5200,0.0000
2019,0.3000,11.6800,-7.0100,18.6900,5.6074
