year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,18.1000,9.0600,-8.4600,17.5200,317.0582
1981,7.8000,10.3100,-5.6000,15.9100,124.0793
1982,8.2000,9.1200,-6.8700,15.9900,131.0958
1983,4.7000,8.1700,-7.4400,15.6100,73.3549
1984,12.6000,8.8000,-9.1700,17.9700,226.3989
1985,14.3000,8.6800,-7.6900,16.3700,234.0813
1986,1.3000,7.1100,-6.0900,13.2100,17.1697
1987,20.3000,8.8200,-5.7800,14.6000,296.3476
1988,11.0000,7.7200,-4.7100,12.4400,136.8321
1989,10.6000,7.2400,-6.8700,14.1100,149.5560
1990,12.9000,8.7900,-4.9300,13.7200,176.9335
1991,26.1000,8.5600,-6.6300,15.1900,396.4508
1992,9.8000,7.6400,-5.6400,13.2800,130.1742
1993,30.6000,8.1200,-4.8400,12.9600,396.4600
1994,6.9000,8.3600,-5.9100,14.2800,98.5145
1995,6.8000,7.0500,-7.0300,14.0800,95.7445
1996,20.5000,6.8900,-7.6900,14.5800,298.9636
1997,1.1000,10.4600,-4.2400,14.7000,16.1673
1998,6.1000,9.1100,-5.7400,14.8500,90.5639
1999,2.4000,8.8800,-3.1300,12.0100,28.8223
2000,2.6000,9.8200,-4.7600,14.5800,37.9138
2001,4.9000,10.2400,-3.7600,14.0000,68.5959
2002,11.1000,10.0700,-4.8800,14.9500,165.8908
2003,21.4000,7.7600,-5.8400,13.6000,290.9418
2004,11.2000,10.0900,-5.9000,16.0000,179.1639
2005,14.5000,8.5700,-6.0000,14.5700,211.2916
2006,28.7000,9.7700,-6.6900,16.4600,472.3895
2007,3.5000,10.9900,-4.4600,15.4600,54.1026
2008,19.9000,10.8900,-9.5500,20.4500,406.8797
2009,4.7000,9.8800,-3.6300,13.5100,63.4785
2010,18.9000,9.7400,-3.4200,13.1600,248.7907
2011,37.9000,8.4200,-5.7100,14.1300,535.5490
2012,45.0000,7.9300,-9.7700,17.7000,796.4866
2013,10.2000,10.4900,-4.5200,15.0100,153.1153
2014,6.2000,9.2100,-5.4200,14.6300,90.7319
2015,11.7000,10.0300,-5.2300,15.2500,178.4702
2016,9.9000,10.7700,-5.0400,15.8100,156.4993
2017,43.2000,8.9200,-5.3100,14.2300,614.5732
2018,24.0000,10.4500,-6.4700,16.9200,406.1043
2019,7.9000,9.9200,-6.1100,16.0200,126.5729
