year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,3.1000,4.1500,-13.8800,18.0300,55.9049
1981,7.9000,6.1200,-14.6000,20.7100,163.6323
1982,3.8000,6.1400,-13.5500,19.7000,74.8520
1983,8.2000,5.5100,-13.4800,18.9900,155.7344
1984,7.1000,4.9200,-14.7100,19.6200,139.3071
1985,10.2000,3.4800,-14.5200,18.0000,183.5815
1986,10.1000,5.8300,-13.9700,19.8000,199.9729
1987,7.5000,5.9600,-10.3800,16.3500,122.5895
1988,6.4000,3.7400,-12.1700,15.9100,101.8556
1989,10.7000,6.2700,-10.8800,17.1500,183.5120
1990,5.9000,6.0200,-10.5700,16.5900,97.8908
1991,9.2000,5.0300,-10.9500,15.9800,146.9898
1992,5.8000,5.9700,-11.1300,17.0900,99.1439
1993,5.5000,5.3900,-12.5600,17.9500,98.7259
1994,4.0000,6.5900,-11.0700,17.6600,70.6367
1995,3.9000,4.3400,-11.5000,15.8400,61.7727
1996,7.2000,4.8800,-13.4000,18.2800,131.6427
1997,4.0000,6.8400,-10.4300,17.2700,69.0807
1998,10.3000,7.8200,-10.3400,18.1500,186.9530
1999,2.1000,6.8400,-10.0800,16.9200,35.5325
2000,13.9000,6.4000,-13.9000,20.3000,282.1999
2001,4.9000,6.3400,-10.5400,16.8700,82.6863
2002,4.2000,6.3400,-9.8500,16.1900,67.9900
2003,17.2000,6.1200,-13.3500,19.4700,334.9318
2004,3.9000,7.0700,-10.4600,17.5300,68.3757
2005,8.6000,6.5700,-12.8100,19.3800,166.6634
2006,16.2000,6.3900,-13.3500,19.7400,319.8271
2007,12.3000,6.3900,-10.4100,16.8000,206.5883
2008,6.6000,7.2500,-13.9300,21.1800,139.7644
2009,4.1000,7.5000,-11.2200,18.7200,76.7338
2010,5.8000,4.2000,-12.7300,16.9300,98.1751
2011,8.7000,4.8600,-13.1400,18.0000,156.6368
2012,3.9000,6.7600,-13.8100,20.5700,80.2302
2013,7.4000,7.6900,-12.7000,20.4000,150.9527
2014,6.5000,8.0800,-10.0200,18.1000,117.6451
2015,7.0000,6.8700,-9.9600,16.8300,117.8141
2016,16.6000,7.4400,-12.6000,20.0400,332.5946
2017,9.8000,7.7500,-8.6300,16.3800,160.5569
2018,5.8700,10.5500,-11.2100,21.7600,127.6587
2019,8.4000,7.1000,-12.9200,20.0200,168.1583
