year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,3.7000,-3.5400,-28.6500,25.1100,92.8898
1981,12.7000,0.2100,-28.6500,28.8600,366.5189
1982,8.2000,-0.8900,-25.4600,24.5700,201.4358
1983,11.5000,-0.0100,-26.2100,26.2100,301.3661
1984,12.7000,-1.2200,-26.2200,25.0000,317.5300
1985,10.9000,-0.0000,-26.7300,26.7300,291.3815
1986,12.8000,0.1500,-24.5900,24.7400,316.7137
1987,15.9000,-2.2200,-25.2900,23.0700,366.7850
1988,25.1000,-1.4700,-26.2500,24.7800,622.0582
1989,11.1000,1.4600,-24.1500,25.6100,284.2434
1990,22.7000,3.4400,-24.9100,28.3500,643.5993
1991,15.3000,0.3600,-23.6100,23.9800,366.8216
1992,15.8000,1.5900,-24.3200,25.9100,409.3436
1993,24.2000,1.4000,-23.6800,25.0800,606.8553
1994,15.9000,0.0200,-24.0800,24.1100,383.3048
1995,7.5000,0.1000,-20.1700,20.2700,152.0091
1996,9.7000,1.2300,-24.0300,25.2600,245.0233
1997,20.9000,1.6200,-26.2000,27.8200,581.4506
1998,9.0000,2.5500,-25.1000,27.6500,248.8604
1999,17.8000,-1.0800,-21.9000,20.8200,370.6085
2000,19.0000,0.7900,-27.4800,28.2700,537.0759
2001,13.8000,1.1000,-28.5000,29.6000,408.5403
2002,23.4000,2.9200,-24.2800,27.2000,636.4167
2003,16.5000,1.1200,-26.1800,27.3000,450.4612
2004,13.2000,-1.1600,-24.8400,23.6900,312.6450
2005,17.0000,0.0800,-26.6600,26.7400,454.5320
2006,17.2000,-0.1600,-26.3800,26.2100,450.8743
2007,10.8000,0.1800,-24.3100,24.4900,264.4972
2008,10.0000,2.8500,-25.4800,28.3300,283.3241
2009,19.9000,1.7200,-25.3400,27.0600,538.4623
2010,17.3000,-1.8200,-26.6800,24.8500,429.9719
2011,19.9000,0.6400,-26.4100,27.0500,538.2325
2012,11.7000,0.2000,-29.9300,30.1400,352.5813
2013,26.1000,-1.1900,-29.3500,28.1600,734.8827
2014,17.1000,2.1700,-23.9900,26.1600,447.4042
2015,5.4000,1.5600,-23.1800,24.7400,133.5768
2016,11.0000,2.4700,-25.7100,28.1800,309.9862
2017,14.1000,2.6100,-24.4800,27.0900,381.9349
2018,6.1000,2.3500,-28.7100,31.0600,189.4678
2019,3.1000,2.9500,-23.3300,26.2800,81.4648
