year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,0.0000,4.1800,-13.1100,17.2900,0.0000
1981,7.1000,7.2200,-13.8800,21.1000,149.8297
1982,2.4000,6.0800,-10.6300,16.7100,40.1050
1983,1.7000,6.9100,-11.8000,18.7100,31.8086
1984,0.7000,4.6900,-12.4500,17.1400,11.9978
1985,11.7000,5.1200,-14.3500,19.4800,227.8583
1986,1.7000,6.2800,-13.5700,19.8500,33.7457
1987,5.0000,4.9500,-11.9500,16.9000,84.4893
1988,0.5000,4.6900,-10.4100,15.1100,7.5539
1989,7.9000,7.2900,-9.5300,16.8100,132.8103
1990,11.4000,6.6000,-12.2700,18.8700,215.1169
1991,2.8000,5.1500,-11.4800,16.6200,46.5425
1992,2.1000,6.1400,-9.9900,16.1400,33.8852
1993,4.8000,6.1300,-11.0000,17.1300,82.2154
1994,2.8000,6.3800,-10.6800,17.0500,47.7537
1995,3.6000,5.1200,-10.6500,15.7700,56.7547
1996,4.2000,6.1200,-11.4300,17.5500,73.7068
1997,6.0000,6.5000,-10.4100,16.9100,101.4338
1998,3.1000,8.7200,-10.3700,19.0900,59.1911
1999,2.3000,5.8200,-9.8500,15.6700,36.0399
2000,4.1000,6.9300,-13.2100,20.1400,82.5888
2001,7.2000,6.7900,-13.4700,20.2600,145.8816
2002,0.0000,8.6500,-9.4100,18.0600,0.0000
2003,2.1000,7.1100,-10.9300,18.0400,37.8928
2004,5.4000,7.0100,-9.6700,16.6900,90.1139
2005,1.9000,6.1400,-13.0100,19.1500,36.3772
2006,4.1000,5.9000,-12.7000,18.6100,76.2827
2007,0.3000,6.5500,-8.8500,15.4100,4.6216
2008,4.1000,7.8900,-11.5300,19.4300,79.6484
2009,1.1000,8.0200,-10.8500,18.8700,20.7613
2010,4.9000,4.1100,-14.1200,18.2300,89.3201
2011,5.6000,6.4200,-12.0900,18.5100,103.6287
2012,0.1000,7.0600,-13.0500,20.1100,2.0111
2013,5.0000,5.3700,-15.4600,20.8400,104.1755
2014,4.3000,7.3000,-11.3500,18.6400,80.1665
2015,1.0000,6.8900,-10.5800,17.4800,17.4757
2016,2.2000,7.7800,-13.2300,21.0000,46.2102
2017,5.6000,7.7200,-10.2800,18.0100,100.8344
2018,0.7000,7.9200,-13.7100,21.6300,15.1428
2019,3.0000,7.7100,-11.8000,19.5100,58.5391
