year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,3.2000,2.3700,-21.8800,24.2500,77.5882
1981,4.4000,4.8700,-18.9300,23.8000,104.7083
1982,11.3000,4.5500,-17.2600,21.8100,246.4661
1983,5.7000,4.6700,-18.7800,23.4500,133.6877
1984,6.8000,3.2000,-20.2500,23.4500,159.4264
1985,10.2000,4.0700,-20.4000,24.4800,249.6679
1986,4.5000,3.8800,-21.1300,25.0000,112.5223
1987,9.1000,1.8200,-19.0300,20.8500,189.7302
1988,9.4000,2.8900,-19.8500,22.7500,213.8146
1989,7.1000,4.7400,-17.0800,21.8200,154.9155
1990,21.6000,6.2400,-19.2400,25.4700,550.1828
1991,6.7000,4.2400,-16.6300,20.8700,139.8298
1992,13.4000,5.0000,-18.7100,23.7100,317.6543
1993,12.2000,5.0000,-18.3100,23.3200,284.4495
1994,8.1000,3.6400,-19.8000,23.4500,189.9280
1995,13.0000,3.2800,-17.7800,21.0600,273.7561
1996,3.9000,5.8600,-16.2200,22.0700,86.0762
1997,10.2000,4.9500,-18.5700,23.5200,239.8698
1998,9.1000,7.1100,-16.0400,23.1500,210.6929
1999,13.1000,2.4200,-17.8200,20.2400,265.1101
2000,20.7000,4.6800,-19.1900,23.8700,494.1658
2001,11.6000,4.4800,-22.5100,26.9900,313.1137
2002,13.2000,6.7700,-15.7400,22.5100,297.0682
2003,5.1000,6.8300,-17.6100,24.4400,124.6348
2004,22.6000,4.3000,-17.0500,21.3600,482.6463
2005,18.9000,3.4800,-19.2400,22.7200,429.4988
2006,19.2000,4.0600,-19.7400,23.8100,457.0820
2007,18.2000,4.3500,-14.4100,18.7600,341.4302
2008,9.0000,7.0700,-17.1600,24.2300,218.0798
2009,10.9000,5.2100,-18.1700,23.3800,254.8520
2010,20.1000,2.0000,-20.2800,22.2800,447.7605
2011,27.2000,3.9600,-19.9800,23.9400,651.2528
2012,5.5000,4.7800,-20.2500,25.0300,137.6826
2013,23.8000,2.9800,-21.9300,24.9100,592.9212
2014,18.2000,6.2500,-18.6600,24.9100,453.3405
2015,28.6000,3.9600,-17.8600,21.8200,624.1404
2016,19.7000,4.3200,-19.6800,24.0100,472.9033
2017,14.7000,5.7300,-18.5300,24.2600,356.6110
2018,20.7000,4.6800,-23.0800,27.7600,574.6165
2019,2.9000,5.9800,-14.4500,20.4300,59.2452
