year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,15.0000,3.8100,-8.6200,12.4300,186.4630
1981,19.9000,6.4900,-7.8600,14.3500,285.6131
1982,43.7000,6.2600,-6.3600,12.6200,551.3916
1983,17.8000,5.6200,-7.3800,13.0000,231.3931
1984,12.4000,4.6400,-8.4400,13.0800,162.2168
1985,63.3000,4.7200,-8.1500,12.8700,814.3683
1986,32.1000,5.9300,-8.1600,14.0900,452.4076
1987,54.5000,5.1600,-5.2800,10.4300,568.6101
1988,7.4000,4.6800,-6.7100,11.3900,84.2965
1989,38.6000,5.7400,-6.2400,11.9800,462.3515
1990,128.1000,5.2700,-6.0800,11.3500,1454.4424
1991,15.1000,4.6500,-5.8800,10.5300,159.0190
1992,33.1000,5.7200,-5.6000,11.3200,374.6760
1993,31.3000,4.9200,-5.8200,10.7400,336.2489
1994,19.5000,6.2300,-6.4000,12.6300,246.2289
1995,38.0000,5.1900,-5.7700,10.9600,416.4873
1996,7.2000,4.3800,-6.8900,11.2700,81.1321
1997,35.8000,6.4400,-5.0400,11.4900,411.1898
1998,88.0000,6.2500,-5.2700,11.5200,1014.1490
1999,9.2000,6.1600,-4.0900,10.2600,94.3489
2000,49.2000,6.4600,-6.7400,13.2000,649.2472
2001,88.5000,6.6900,-5.5900,12.2700,1086.3161
2002,28.2000,6.7700,-4.5900,11.3700,320.5877
2003,38.8000,5.3800,-5.7400,11.1200,431.3876
2004,62.5000,6.2000,-5.4300,11.6300,726.8514
2005,45.1000,6.0700,-7.3300,13.4000,604.4707
2006,33.3000,6.6900,-6.8500,13.5400,451.0372
2007,31.0000,6.6100,-4.2600,10.8700,337.0292
2008,54.4000,6.5000,-6.8600,13.3600,726.7475
2009,20.8000,6.4500,-5.3500,11.8000,245.5083
2010,36.0000,4.0300,-6.4200,10.4500,376.2948
2011,23.3000,5.1500,-7.3800,12.5300,291.9738
2012,29.2000,6.8900,-7.9800,14.8700,434.1212
2013,90.3000,6.4600,-6.7000,13.1700,1189.0242
2014,39.2000,7.7400,-5.1900,12.9300,506.9488
2015,46.5000,6.4800,-5.5700,12.0500,560.5485
2016,47.8000,7.2800,-5.8500,13.1300,627.6605
2017,54.6000,7.3500,-4.1200,11.4700,626.3213
2018,17.3000,7.8400,-6.4900,14.3200,247.7799
2019,35.2000,6.9500,-5.8800,12.8300,451.6934
