year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,3.7000,0.1300,-23.7900,23.9200,88.5096
1981,4.3000,2.9700,-22.0400,25.0100,107.5455
1982,5.8000,2.4600,-19.8200,22.2800,129.2230
1983,6.3000,2.8100,-21.1000,23.9000,150.5831
1984,5.6000,1.7000,-22.2100,23.9200,133.9443
1985,5.9000,2.7600,-23.7700,26.5300,156.5448
1986,4.3000,2.6200,-23.2100,25.8200,111.0293
1987,13.6000,-0.0700,-23.0800,23.0000,312.8522
1988,6.1000,1.6800,-22.1300,23.8100,145.2150
1989,7.3000,2.5300,-20.6600,23.1900,169.2985
1990,16.2000,4.9200,-21.9000,26.8200,434.4413
1991,8.4000,2.4600,-19.0900,21.5600,181.0736
1992,19.1000,3.4500,-21.8100,25.2600,482.5052
1993,10.7000,3.2200,-20.5500,23.7700,254.3698
1994,13.8000,2.2200,-22.6900,24.9100,343.7820
1995,6.8000,1.8900,-17.5800,19.4700,132.3980
1996,4.4000,3.2200,-19.9200,23.1300,101.7891
1997,20.0000,3.7100,-21.4200,25.1300,502.5072
1998,12.5000,5.4400,-20.6000,26.0400,325.5021
1999,9.8000,1.3900,-19.1600,20.5500,201.3704
2000,16.7000,3.5400,-20.8600,24.4100,407.6370
2001,9.6000,3.1900,-24.7700,27.9600,268.3965
2002,23.7000,4.8900,-18.4000,23.2900,551.9249
2003,4.8000,4.4400,-19.7600,24.2000,116.1614
2004,16.9000,2.2800,-19.8900,22.1700,374.7198
2005,16.5000,2.1300,-21.6800,23.8100,392.8909
2006,13.7000,2.1800,-23.3500,25.5300,349.7828
2007,6.1000,2.7800,-18.2800,21.0600,128.4753
2008,6.8000,5.4400,-18.7200,24.1700,164.3474
2009,13.4000,4.2300,-20.6300,24.8600,333.0712
2010,23.2000,1.4800,-22.4600,23.9400,555.4439
2011,22.1000,2.8800,-22.0200,24.8900,550.1784
2012,3.0000,3.0800,-23.6000,26.6800,80.0348
2013,21.2000,2.2100,-24.5300,26.7500,567.0698
2014,19.1000,4.6100,-20.5300,25.1500,480.2755
2015,12.8000,3.7700,-18.2400,22.0200,281.7923
2016,16.2000,4.5100,-20.4400,24.9500,404.1263
2017,6.7000,5.1400,-19.2000,24.3400,163.1020
2018,12.2000,4.1600,-23.8200,27.9800,341.3669
2019,0.0000,4.5800,-16.7800,21.3600,0.0000
