year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,2.5000,5.4700,-16.5100,21.9800,54.9531
1981,5.2000,7.5200,-15.4900,23.0100,119.6268
1982,2.1000,7.0900,-12.3300,19.4200,40.7755
1983,2.6000,7.7500,-13.6700,21.4200,55.7007
1984,0.8000,6.0500,-14.8500,20.8900,16.7134
1985,6.7000,7.0100,-15.4600,22.4700,150.5252
1986,1.2000,7.1800,-15.5700,22.7500,27.3005
1987,7.4000,5.3400,-14.3100,19.6400,145.3630
1988,3.4000,5.8200,-12.4300,18.2500,62.0513
1989,8.1000,8.2300,-11.4800,19.7100,159.6897
1990,10.7000,8.3200,-13.7300,22.0500,235.9536
1991,6.7000,6.7500,-12.1700,18.9200,126.7415
1992,3.6000,7.6100,-11.9600,19.5700,70.4411
1993,3.9000,7.7700,-12.5600,20.3300,79.2768
1994,7.7000,7.0500,-13.6500,20.7000,159.4071
1995,4.0000,6.2500,-11.7000,17.9500,71.7999
1996,2.1000,7.6500,-11.7200,19.3700,40.6857
1997,1.1000,7.9400,-11.9800,19.9200,21.9159
1998,0.9000,9.9500,-11.4600,21.4100,19.2670
1999,3.2000,5.5800,-11.2500,16.8300,53.8469
2000,10.2000,7.8100,-14.6600,22.4700,229.2300
2001,12.0000,7.5500,-18.3200,25.8700,310.3870
2002,3.4000,9.6500,-10.6200,20.2700,68.9108
2003,0.9000,9.0700,-11.9200,20.9900,18.8896
2004,1.4000,7.9600,-11.0700,19.0400,26.6544
2005,10.3000,7.0200,-15.4700,22.4900,231.6199
2006,5.4000,7.1200,-14.5100,21.6200,116.7702
2007,1.8000,7.4100,-9.5400,16.9600,30.5254
2008,2.7000,9.4200,-12.3500,21.7700,58.7792
2009,1.5000,8.5400,-12.0300,20.5700,30.8520
2010,6.1000,4.7900,-15.6000,20.3900,124.3740
2011,20.0000,6.9400,-16.4500,23.3900,467.8498
2012,2.4000,7.6700,-14.6100,22.2800,53.4707
2013,18.9000,6.1400,-18.0300,24.1700,456.8367
2014,5.3000,9.2000,-11.5500,20.7500,109.9922
2015,25.1000,8.5700,-11.9600,20.5200,515.1272
2016,9.9000,9.0000,-13.3300,22.3200,221.0095
2017,13.5000,9.6700,-10.6500,20.3300,274.3885
2018,8.6000,9.0200,-14.2900,23.3000,200.4151
2019,0.4000,9.7000,-10.2400,19.9300,7.9735
