year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,12.2000,6.1000,-13.9800,20.0900,245.0635
1981,57.8000,7.3400,-15.5800,22.9200,1324.9170
1982,15.0000,7.5300,-11.2000,18.7300,281.0058
1983,46.6000,8.1900,-12.6700,20.8600,971.9342
1984,14.7000,5.7200,-13.1900,18.9100,277.9887
1985,51.0000,6.5900,-12.8900,19.4800,993.6032
1986,23.2000,6.6800,-14.5500,21.2300,492.5192
1987,40.9000,6.1800,-11.6100,17.7800,727.4035
1988,20.2000,5.9100,-10.4500,16.3600,330.4126
1989,27.2000,8.1500,-9.2600,17.4100,473.5198
1990,32.5000,7.7300,-10.3300,18.0600,586.9641
1991,36.6000,6.5500,-10.8900,17.4400,638.3464
1992,25.1000,7.3500,-9.6500,16.9900,426.5219
1993,41.9000,7.2100,-10.2600,17.4700,731.8452
1994,27.7000,7.2200,-11.5300,18.7600,519.6065
1995,29.1000,6.4600,-9.6100,16.0700,467.6623
1996,15.6000,6.7200,-11.5300,18.2500,284.7048
1997,52.2000,7.3300,-10.8200,18.1400,947.1677
1998,26.5000,9.7300,-9.1900,18.9200,501.4805
1999,24.8000,6.8400,-9.7100,16.5500,410.5257
2000,49.6000,7.1700,-12.6300,19.8000,982.1487
2001,30.6000,7.4800,-13.2100,20.6800,632.8923
2002,27.7000,9.1900,-9.5600,18.7500,519.3201
2003,25.8000,8.1500,-10.5000,18.6400,481.0279
2004,36.2000,7.4800,-9.7300,17.2000,622.7693
2005,40.7000,6.2100,-12.3900,18.5900,756.6533
2006,42.1000,7.1800,-12.9200,20.1000,846.1368
2007,35.3000,6.2500,-7.8700,14.1200,498.3576
2008,14.4000,8.9200,-11.1100,20.0300,288.4558
2009,84.2000,7.9000,-9.9200,17.8200,1500.3484
2010,53.8000,5.1700,-11.9500,17.1200,921.0352
2011,33.6000,6.7400,-11.6700,18.4100,618.5094
2012,9.6000,7.5200,-12.8000,20.3200,195.0681
2013,42.5000,6.3300,-13.0900,19.4200,825.2299
2014,19.7000,8.5100,-10.2200,18.7300,369.0214
2015,52.1000,8.0700,-10.4700,18.5400,965.9655
2016,41.7000,8.6800,-10.9100,19.5900,816.8717
2017,63.6000,8.3100,-9.6000,17.9100,1138.9884
2018,12.1000,8.7000,-12.3100,21.0000,254.1412
2019,28.0000,8.5100,-10.0000,18.5100,518.3023
