year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,0.3000,9.8400,-6.7500,16.5900,4.9766
1981,3.3000,11.0900,-5.5500,16.6400,54.9089
1982,6.0000,10.5200,-4.8500,15.3700,92.2109
1983,6.4000,9.6000,-6.4700,16.0600,102.8126
1984,2.9000,10.4200,-6.8900,17.3100,50.1853
1985,7.6000,10.2900,-6.7800,17.0800,129.7755
1986,0.3000,10.5500,-5.3100,15.8600,4.7593
1987,6.0000,11.0800,-2.9600,14.0400,84.2232
1988,7.1000,9.3400,-4.6900,14.0300,99.6001
1989,20.5000,10.0200,-5.3500,15.3700,315.0528
1990,14.4000,10.5700,-3.3200,13.8900,199.9951
1991,7.5000,10.4000,-3.8600,14.2600,106.9578
1992,9.1000,10.8400,-5.0500,15.8900,144.5759
1993,9.7000,10.7000,-4.8200,15.5200,150.5124
1994,11.0000,11.3200,-4.7600,16.0800,176.9241
1995,2.6000,10.4700,-4.3400,14.8100,38.5106
1996,5.2000,9.4500,-5.0700,14.5300,75.5512
1997,4.8000,12.3400,-3.6600,16.0000,76.8166
1998,2.5000,11.7200,-3.7200,15.4500,38.6182
1999,0.0000,11.8500,-2.9700,14.8200,0.0000
2000,11.0000,12.1500,-4.8000,16.9500,186.4981
2001,7.3000,11.1300,-2.5400,13.6700,99.7942
2002,3.4000,11.3200,-2.9200,14.2500,48.4331
2003,4.2000,10.9000,-4.5700,15.4700,64.9692
2004,0.0000,12.2100,-4.3800,16.5900,0.0000
2005,3.4000,11.9300,-4.4700,16.4000,55.7726
2006,7.8000,11.7600,-5.5900,17.3500,135.3460
2007,2.4000,11.6400,-3.3800,15.0200,36.0483
2008,12.6000,12.5900,-8.1700,20.7600,261.5280
2009,0.7000,12.1400,-3.3800,15.5200,10.8634
2010,3.2000,10.4200,-3.5200,13.9400,44.6137
2011,4.8000,10.3100,-5.7400,16.0500,77.0333
2012,4.8000,11.3400,-6.3800,17.7200,85.0527
2013,1.2000,13.1300,-4.1000,17.2300,20.6738
2014,12.3300,12.1900,-4.0500,16.2500,200.4045
2015,5.5000,12.1200,-3.2400,15.3600,84.4711
2016,19.1000,12.4100,-5.3000,17.7100,338.3200
2017,7.3000,11.9700,-1.5600,13.5300,98.7334
2018,7.6000,14.0700,-4.6200,18.6900,142.0737
2019,2.4000,12.5700,-4.6900,17.2600,41.4230
