year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,3.7000,3.1000,-20.5800,23.6900,87.6425
1981,5.9000,5.6200,-17.8700,23.4800,138.5430
1982,10.1000,5.5000,-15.1100,20.6100,208.1281
1983,2.6000,5.3100,-17.3200,22.6300,58.8377
1984,4.1000,4.1000,-18.6700,22.7700,93.3538
1985,9.9000,5.0400,-19.0900,24.1200,238.8236
1986,4.5000,4.6000,-19.6000,24.2000,108.8853
1987,10.8000,2.5100,-17.3100,19.8200,214.0531
1988,11.6000,3.5300,-18.1000,21.6300,250.9262
1989,4.2000,5.4300,-15.4700,20.9000,87.7678
1990,15.4000,6.8100,-17.6900,24.5000,377.2639
1991,5.7000,4.7400,-15.0800,19.8200,113.0004
1992,11.5000,5.6500,-16.7500,22.4000,257.6442
1993,10.8000,5.6700,-16.5400,22.2000,239.7921
1994,8.3000,4.4700,-18.1700,22.6500,187.9719
1995,7.8000,3.8200,-15.7000,19.5200,152.2603
1996,2.0000,6.3600,-14.8900,21.2500,42.4953
1997,4.5000,5.8200,-16.4100,22.2300,100.0332
1998,4.4000,7.7600,-14.5600,22.3200,98.2026
1999,6.2000,3.2200,-15.9600,19.1800,118.8929
2000,18.1000,5.4000,-17.5600,22.9700,415.6825
2001,3.9000,4.6300,-22.0800,26.7200,104.1921
2002,12.2000,6.8500,-15.8800,22.7300,277.3051
2003,0.7000,7.0100,-16.7500,23.7600,16.6295
2004,8.8000,4.4900,-16.1400,20.6300,181.5710
2005,10.4000,3.7500,-18.4600,22.2100,230.9850
2006,8.3000,4.5900,-18.6000,23.1900,192.5155
2007,15.7000,4.5400,-12.6300,17.1700,269.6422
2008,7.3000,7.3200,-15.4700,22.7900,166.3979
2009,11.8000,5.7000,-17.0700,22.7700,268.7379
2010,12.1000,2.3200,-19.4700,21.7900,263.6660
2011,9.8000,4.5500,-18.7300,23.2800,228.1123
2012,1.2000,5.3600,-17.9400,23.3100,27.9671
2013,7.6000,3.3900,-20.8300,24.2200,184.0404
2014,8.7000,6.8200,-16.8200,23.6400,205.6543
2015,10.7000,5.1800,-15.1500,20.3300,217.5362
2016,14.2000,6.2700,-16.6800,22.9600,325.9802
2017,8.4000,6.9800,-15.6200,22.6000,189.8536
2018,10.3000,5.8700,-20.1400,26.0100,267.9438
2019,1.4000,6.5200,-13.6300,20.1500,28.2062
