year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,4.9000,0.8700,-12.1800,13.0600,63.9780
1981,0.9000,0.7200,-10.9000,11.6200,10.4577
1982,4.7000,-0.4500,-11.5300,11.0900,52.1019
1983,2.8000,-1.0100,-13.4300,12.4200,34.7734
1984,0.8000,0.2400,-11.9800,12.2200,9.7798
1985,0.2000,0.6300,-11.2500,11.8700,2.3745
1986,5.0000,0.0700,-12.1100,12.1800,60.9031
1987,5.0000,0.6700,-10.7300,11.3900,56.9704
1988,1.0000,0.0600,-9.7300,9.7900,9.7883
1989,3.9000,-0.5400,-11.2200,10.6700,41.6296
1990,2.1000,-0.0200,-10.5800,10.5600,22.1702
1991,5.3000,0.8000,-10.9900,11.7900,62.4812
1992,1.7000,0.6000,-12.3500,12.9500,22.0178
1993,5.0000,0.2900,-11.9900,12.2800,61.4066
1994,4.6000,0.5700,-10.9500,11.5300,53.0253
1995,5.1000,-0.2800,-12.6200,12.3300,62.8869
1996,5.3000,0.4400,-11.5400,11.9800,63.5102
1997,2.6000,1.1100,-12.0600,13.1700,34.2357
1998,2.4000,2.1700,-10.7900,12.9600,31.1084
1999,4.8000,1.0900,-10.1600,11.2500,54.0061
2000,2.2000,0.4800,-11.9100,12.3900,27.2635
2001,3.4000,0.1000,-10.8900,10.9900,37.3547
2002,6.9000,1.4200,-11.9700,13.3900,92.3877
2003,0.4000,1.4600,-10.1200,11.5800,4.6314
2004,4.8000,1.7100,-11.4100,13.1100,62.9482
2005,3.5000,1.1700,-9.7700,10.9400,38.2848
2006,6.5000,0.4200,-9.6100,10.0300,65.2065
2007,4.9000,1.7600,-11.1300,12.8900,63.1816
2008,8.1000,1.6100,-11.9400,13.5500,109.7671
2009,5.3000,1.5500,-9.7100,11.2600,59.6955
2010,3.1000,1.5500,-9.3400,10.8900,33.7558
2011,5.5000,0.5400,-11.2700,11.8100,64.9684
2012,5.4000,0.6800,-11.7200,12.4000,66.9731
2013,2.1000,2.2200,-10.4700,12.6900,26.6480
2014,4.5000,1.5000,-10.6600,12.1600,54.7101
2015,5.0000,1.7000,-10.0600,11.7600,58.8111
2016,1.7000,1.8900,-10.8600,12.7600,21.6854
2017,2.8000,0.6700,-8.7000,9.3700,26.2319
2018,2.9300,1.4200,-9.6700,11.0900,32.5381
2019,3.1700,1.4200,-9.6900,11.1100,35.1709
