year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,2.5000,7.3800,-6.5900,13.9700,34.9332
1981,9.1000,8.9400,-5.3900,14.3200,130.3452
1982,8.4000,7.8700,-4.8500,12.7300,106.9091
1983,6.5000,6.9700,-6.3300,13.3000,86.4478
1984,4.3000,8.0500,-6.9200,14.9700,64.3888
1985,8.1000,7.6700,-6.5600,14.2200,115.1971
1986,1.8000,8.0400,-5.3300,13.3800,24.0822
1987,9.6000,8.4700,-2.7800,11.2500,107.9954
1988,11.7000,6.8800,-4.9100,11.8000,138.0105
1989,27.7000,7.3700,-5.5800,12.9500,358.6113
1990,16.3000,7.9800,-3.8100,11.7900,192.2006
1991,8.3000,7.7300,-3.9300,11.6600,96.8183
1992,8.2000,8.3700,-4.7800,13.1600,107.8732
1993,11.9000,7.9900,-4.3900,12.3700,147.2593
1994,9.3000,9.0900,-4.7600,13.8500,128.8061
1995,10.0000,8.2100,-4.8100,13.0200,130.1643
1996,8.9000,6.9000,-5.6400,12.5400,111.5631
1997,5.9000,9.8300,-3.4000,13.2300,78.0724
1998,4.4000,8.9900,-4.2100,13.2000,58.0904
1999,0.2000,9.1300,-2.9100,12.0400,2.4090
2000,13.7000,9.7900,-5.0400,14.8300,203.1824
2001,11.5000,8.9800,-3.0400,12.0100,138.1214
2002,6.2000,8.7000,-3.3700,12.0700,74.8067
2003,9.6000,8.1900,-3.8000,11.9900,115.1174
2004,1.0000,10.2200,-4.1800,14.4000,14.3976
2005,15.5000,9.7400,-4.5500,14.2900,221.4639
2006,11.7000,9.7800,-5.2100,14.9900,175.3375
2007,5.8000,9.4800,-2.8600,12.3500,71.6065
2008,20.8000,10.5600,-7.2900,17.8500,371.2549
2009,5.3000,9.9300,-3.1600,13.0900,69.3789
2010,7.5000,8.0900,-3.6700,11.7600,88.1768
2011,10.3000,7.9800,-6.0000,13.9800,143.9873
2012,9.6000,8.9100,-6.8600,15.7700,151.3629
2013,12.5000,11.0900,-4.0400,15.1300,189.1002
2014,19.2700,9.4800,-4.1400,13.6200,262.3771
2015,9.6000,9.4600,-3.7500,13.2100,126.8250
2016,33.1000,9.5100,-5.5600,15.0700,498.7872
2017,8.6000,9.0100,-2.1900,11.2000,96.3366
2018,13.9000,11.3700,-5.3600,16.7200,232.4647
2019,13.6000,9.7000,-5.8900,15.5800,211.9044
