year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,4.3000,13.1500,2.7400,10.4100,44.7515
1981,4.6000,14.9300,3.2700,11.6600,53.6483
1982,6.7000,13.1200,2.8400,10.2800,68.8737
1983,7.6000,13.0800,2.2000,10.8700,82.6494
1984,12.8000,13.7200,2.0600,11.6600,149.2224
1985,15.2000,13.7300,2.5500,11.1800,169.9092
1986,3.7000,13.6700,3.0700,10.6000,39.2187
1987,1.8000,13.9900,5.1800,8.8100,15.8523
1988,9.7000,13.0300,3.4700,9.5600,92.7434
1989,18.6000,12.9100,2.5500,10.3600,192.6902
1990,17.2000,13.4100,3.6900,9.7200,167.1977
1991,4.0000,13.6000,4.0100,9.5900,38.3689
1992,10.3000,13.9500,3.7400,10.2100,105.1902
1993,5.4000,13.5500,3.8400,9.7200,52.4697
1994,12.0000,14.2800,3.3200,10.9600,131.5380
1995,4.1000,14.4000,3.5000,10.8900,44.6675
1996,12.8000,12.4800,2.8900,9.5900,122.7985
1997,10.4000,14.8900,3.5200,11.3700,118.2274
1998,2.9000,14.9600,3.5300,11.4300,33.1335
1999,1.7000,14.2900,5.4100,8.8900,15.1095
2000,6.4000,15.2400,3.6000,11.6300,74.4625
2001,3.4000,15.2700,4.7700,10.5100,35.7209
2002,1.7000,14.5400,4.1500,10.3900,17.6632
2003,4.1000,14.4900,4.1400,10.3500,42.4315
2004,0.1000,14.7400,4.0500,10.7000,1.0698
2005,3.6000,15.6100,3.6400,11.9800,43.1110
2006,5.3000,15.2000,3.5500,11.6600,61.7742
2007,4.9000,15.1400,4.6900,10.4500,51.2112
2008,14.0000,15.4900,2.5900,12.9000,180.6319
2009,1.8000,14.2300,4.3000,9.9300,17.8668
2010,1.6000,13.4700,4.8700,8.5900,13.7470
2011,4.6000,14.0100,2.6600,11.3400,52.1737
2012,9.6000,14.6100,2.9000,11.7100,112.4032
2013,3.5000,16.0000,4.0900,11.9100,41.6737
2014,15.1000,14.1000,3.5100,10.5900,159.8747
2015,2.4000,14.7200,3.9100,10.8100,25.9507
2016,2.9000,14.6300,3.5600,11.0700,32.0935
2017,0.7000,14.3800,4.8700,9.5100,6.6596
2018,13.9000,15.6700,3.1500,12.5200,173.9907
2019,15.5000,14.7500,3.1100,11.6400,180.3695
