year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,0.0000,9.3900,-8.1900,17.5800,0.0000
1981,0.3000,10.6900,-7.0700,17.7500,5.3261
1982,1.1000,9.9400,-7.0700,17.0100,18.7101
1983,3.0000,9.1500,-8.0400,17.1900,51.5702
1984,1.2000,9.5900,-9.1800,18.7600,22.5153
1985,2.8000,9.1100,-8.8200,17.9400,50.2188
1986,0.6000,9.5600,-7.2400,16.8000,10.0773
1987,0.3000,10.1400,-5.0100,15.1400,4.5424
1988,6.7000,8.8600,-7.1500,16.0200,107.3278
1989,5.4000,10.2900,-8.0500,18.3400,99.0373
1990,1.6000,9.8100,-5.2800,15.0900,24.1437
1991,0.1000,9.7900,-6.1300,15.9200,1.5922
1992,1.0000,10.4800,-6.8800,17.3600,17.3552
1993,1.0000,10.0700,-5.4000,15.4700,15.4696
1994,0.0000,10.0400,-6.6200,16.6600,0.0000
1995,0.5000,9.4800,-6.4800,15.9600,7.9818
1996,0.0000,9.5000,-7.8000,17.3000,0.0000
1997,1.7000,11.9400,-6.0000,17.9300,30.4865
1998,7.6000,11.1900,-6.7800,17.9700,136.5489
1999,0.2000,10.8600,-5.0600,15.9200,3.1842
2000,6.0000,10.9600,-7.1700,18.1300,108.8069
2001,0.1000,10.9500,-5.4100,16.3600,1.6362
2002,1.8000,10.6600,-6.1700,16.8300,30.2876
2003,5.4000,10.3800,-7.3100,17.6900,95.5280
2004,0.6000,12.3000,-6.3100,18.6100,11.1633
2005,0.0000,11.4600,-7.4900,18.9600,0.0000
2006,6.5000,11.2400,-8.2900,19.5300,126.9467
2007,0.0000,11.1300,-5.4000,16.5200,0.0000
2008,9.0000,12.4100,-10.9600,23.3700,210.3324
2009,2.4000,12.0200,-6.7900,18.8100,45.1458
2010,7.6000,9.3400,-7.1800,16.5100,125.5116
2011,4.0000,10.0900,-8.4100,18.5000,73.9967
2012,0.7000,11.4000,-8.7700,20.1700,14.1215
2013,0.2000,12.9900,-6.7600,19.7600,3.9514
2014,0.0000,11.4300,-6.4600,17.8900,0.0000
2015,0.3000,11.5800,-6.1900,17.7700,5.3325
2016,3.0000,11.7900,-6.8200,18.6200,55.8463
2017,0.6000,11.3100,-4.6000,15.9100,9.5462
2018,0.9000,11.5600,-6.0000,17.5600,15.8036
2019,1.2000,11.5600,-5.6700,17.2300,20.6741
