year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,15.2000,9.9100,-13.7800,23.6900,360.1431
1981,15.2000,11.8400,-13.1400,24.9900,379.8329
1982,2.4000,11.7700,-9.6600,21.4300,51.4205
1983,8.6000,11.9300,-9.9400,21.8700,188.0855
1984,10.2000,10.2200,-12.3400,22.5600,230.1257
1985,16.5000,8.7300,-16.0100,24.7400,408.1797
1986,15.8000,10.4000,-14.0000,24.4000,385.5383
1987,23.4000,9.4900,-11.5100,21.0000,491.3028
1988,28.2000,8.1300,-13.3600,21.4900,605.8887
1989,21.3000,9.5700,-11.5100,21.0800,448.9484
1990,18.0000,11.2600,-6.8300,18.0900,325.6565
1991,11.7000,11.1300,-11.2100,22.3400,261.3961
1992,26.9000,11.1300,-10.9300,22.0600,593.4756
1993,16.7000,9.8900,-9.9300,19.8200,330.9960
1994,27.0000,9.3700,-15.2400,24.6200,664.6063
1995,29.9000,11.2200,-12.1700,23.3800,699.1508
1996,7.7000,9.8900,-13.1800,23.0700,177.6427
1997,11.1000,14.8800,-10.6600,25.5400,283.4857
1998,16.5000,9.4900,-12.2600,21.7400,358.7877
1999,18.3000,10.6000,-10.5100,21.1100,386.3117
2000,12.7000,12.9300,-11.0600,24.0000,304.7626
2001,13.0000,12.5500,-10.2600,22.8100,296.4876
2002,29.6000,10.4900,-12.0500,22.5400,667.0603
2003,16.3000,9.7900,-10.9800,20.7700,338.5553
2004,15.9000,12.3200,-11.7500,24.0800,382.8187
2005,16.7000,12.0400,-14.7700,26.8100,447.6951
2006,15.2000,12.3300,-12.4500,24.7800,376.6288
2007,13.3000,12.4300,-9.6600,22.0800,293.7154
2008,15.2000,14.2800,-13.2900,27.5700,418.9897
2009,9.0000,12.7400,-9.4100,22.1500,199.3513
2010,23.8000,8.9300,-12.1600,21.1000,502.1616
2011,18.2000,10.6500,-13.1000,23.7500,432.2482
2012,11.8000,13.1700,-13.8800,27.0500,319.1488
2013,10.5000,13.4900,-13.9000,27.3900,287.5963
2014,9.7000,11.1800,-11.7000,22.8700,221.8866
2015,5.9000,12.8100,-11.0600,23.8700,140.8511
2016,20.9000,12.7900,-12.6100,25.4000,530.8390
2017,10.9000,11.4600,-11.1000,22.5600,245.9130
2018,6.0000,13.0400,-12.7800,25.8200,154.9217
2019,3.2000,12.1600,-13.7700,25.9400,83.0000
