year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,12.8000,3.4000,-20.9500,24.3500,311.6791
1981,19.4000,7.4100,-17.7500,25.1600,488.1424
1982,9.8000,6.5300,-15.3800,21.9100,214.7336
1983,15.5000,6.8400,-18.2100,25.0500,388.2271
1984,24.1000,4.1600,-19.8400,23.9900,578.1996
1985,25.0000,2.4200,-22.3100,24.7300,618.2651
1986,13.3000,5.3800,-19.0600,24.4400,325.0276
1987,56.0000,3.8800,-15.5700,19.4600,1089.5341
1988,52.3000,2.3700,-19.8300,22.2000,1161.3068
1989,23.9000,5.8200,-15.6300,21.4500,512.5661
1990,35.5000,6.5600,-14.1700,20.7300,735.9879
1991,25.9000,5.3800,-16.5500,21.9300,567.8838
1992,27.4000,6.1500,-15.9700,22.1200,606.1867
1993,50.1000,5.3200,-15.4500,20.7600,1040.2261
1994,30.4000,5.4000,-18.6200,24.0200,730.2051
1995,10.4000,6.6800,-13.1400,19.8200,206.1220
1996,35.6000,5.7700,-17.0400,22.8100,812.0427
1997,50.6000,10.7700,-16.5700,27.3400,1383.4908
1998,37.8000,4.7900,-17.1800,21.9700,830.4742
1999,39.4000,4.2900,-16.5900,20.8800,822.6806
2000,36.4000,7.4100,-17.3800,24.7900,902.4757
2001,103.6000,5.6300,-17.1700,22.8000,2362.4629
2002,39.5000,6.6300,-16.1200,22.7500,898.7319
2003,51.9000,4.3200,-16.3700,20.6900,1073.8486
2004,28.8000,7.3200,-18.0300,25.3400,729.9328
2005,49.6000,7.3900,-20.1700,27.5500,1366.6597
2006,61.8000,4.7900,-18.4500,23.2400,1436.1096
2007,20.6000,8.1000,-13.1600,21.2600,437.9102
2008,8.2000,10.1400,-15.3600,25.5000,209.1051
2009,51.3000,7.6500,-16.6800,24.3300,1247.9630
2010,153.2000,1.4100,-18.3600,19.7700,3028.4014
2011,55.7000,5.7300,-19.2500,24.9800,1391.4048
2012,15.3000,8.0200,-18.4300,26.4500,404.6393
2013,56.7000,8.4400,-17.5900,26.0300,1475.7230
2014,37.9000,6.9100,-14.7900,21.7100,822.6726
2015,41.8000,7.5000,-14.9300,22.4300,937.5700
2016,23.3000,8.3200,-14.1800,22.5000,524.1941
2017,45.4000,6.2100,-13.5100,19.7200,895.3253
2018,13.9000,8.2100,-15.8300,24.0400,334.2141
2019,28.5000,7.3900,-16.0400,23.4200,667.5733
