year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,0.2000,9.8600,-7.5800,17.4400,3.4876
1981,1.3000,11.0700,-5.5700,16.6400,21.6313
1982,1.7000,10.8500,-5.5400,16.3900,27.8593
1983,1.1000,9.9100,-6.4600,16.3700,18.0080
1984,2.9000,10.3600,-7.3300,17.6900,51.2962
1985,3.7000,9.9500,-7.3900,17.3400,64.1741
1986,1.9000,10.3300,-6.4700,16.8000,31.9292
1987,6.4000,11.0200,-4.3000,15.3200,98.0667
1988,10.0000,9.5200,-5.7200,15.2400,152.3823
1989,16.1000,10.6300,-6.3900,17.0200,274.0282
1990,13.1000,10.6600,-3.6300,14.2900,187.1392
1991,3.1000,10.5500,-4.4500,15.0000,46.5003
1992,2.6000,10.9300,-5.6300,16.5600,43.0535
1993,6.6000,10.7600,-5.8800,16.6400,109.8366
1994,1.0000,11.3300,-5.3500,16.6800,16.6760
1995,12.4000,10.1600,-5.0100,15.1700,188.0646
1996,0.0000,9.3200,-5.9400,15.2600,0.0000
1997,2.1000,12.2200,-4.2300,16.4500,34.5370
1998,1.8000,11.8800,-4.5600,16.4400,29.5926
1999,0.0000,12.0400,-3.6800,15.7200,0.0000
2000,8.3000,11.9000,-5.8200,17.7200,147.0921
2001,0.0000,11.5800,-3.0100,14.5900,0.0000
2002,4.7000,11.5600,-3.7500,15.3100,71.9351
2003,3.2000,11.5600,-5.0900,16.6500,53.2795
2004,0.0000,13.0900,-4.5700,17.6700,0.0000
2005,3.9000,12.3400,-5.2100,17.5500,68.4589
2006,4.8000,12.4300,-5.9100,18.3300,87.9919
2007,1.6000,12.2000,-3.2000,15.4000,24.6381
2008,9.3000,13.2700,-7.4600,20.7300,192.8198
2009,0.4000,12.9300,-3.2800,16.2200,6.4864
2010,10.7000,10.6400,-4.5700,15.2200,162.8083
2011,0.9000,11.0200,-5.3400,16.3600,14.7197
2012,2.8000,12.4200,-6.3600,18.7800,52.5932
2013,5.8300,13.9200,-3.9100,17.8300,103.9927
2014,7.2300,13.1600,-3.6900,16.8400,121.8404
2015,0.7000,12.3600,-3.6000,15.9500,11.1680
2016,15.4000,12.5200,-5.2700,17.7900,273.9636
2017,8.0000,12.6300,-2.2400,14.8700,118.9289
2018,5.3000,14.6700,-4.9000,19.5700,103.7013
2019,0.5000,12.9900,-5.4300,18.4200,9.2117
