year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,1.4000,8.4300,-8.2500,16.6800,23.3465
1981,0.1000,9.7200,-7.0900,16.8200,1.6816
1982,1.4000,8.4900,-7.8100,16.3000,22.8172
1983,0.0000,8.0600,-7.7300,15.7900,0.0000
1984,0.9000,8.1200,-9.7400,17.8600,16.0742
1985,4.6000,7.9200,-9.8200,17.7400,81.6221
1986,0.4000,7.8000,-7.6300,15.4300,6.1703
1987,2.1000,8.3700,-6.6700,15.0400,31.5855
1988,1.0000,6.5200,-7.2100,13.7200,13.7240
1989,0.3000,7.6000,-7.6800,15.2800,4.5843
1990,0.2000,8.1800,-6.5700,14.7400,2.9488
1991,1.7000,8.3800,-7.7500,16.1300,27.4160
1992,0.4000,8.0300,-7.1400,15.1700,6.0663
1993,3.3000,7.9000,-6.5300,14.4300,47.6264
1994,0.3000,7.8100,-7.9200,15.7200,4.7173
1995,9.9000,8.2500,-7.8000,16.0500,158.8847
1996,0.7000,7.2800,-7.5400,14.8200,10.3732
1997,0.0000,10.7100,-5.0600,15.7700,0.0000
1998,0.6000,8.5300,-6.0400,14.5800,8.7455
1999,1.8000,8.9100,-4.5900,13.5000,24.3076
2000,1.1000,9.6700,-5.6500,15.3200,16.8521
2001,0.2000,9.8100,-4.3800,14.1800,2.8366
2002,1.3000,9.0200,-5.6800,14.7000,19.1110
2003,2.8000,7.9800,-5.9500,13.9200,38.9836
2004,4.4000,10.3300,-6.1400,16.4800,72.4969
2005,4.6000,10.2200,-6.4700,16.7000,76.8024
2006,2.3000,9.5400,-6.6200,16.1600,37.1686
2007,0.0000,10.4700,-4.1300,14.6000,0.0000
2008,2.6000,10.6600,-8.0300,18.6900,48.5925
2009,0.5000,9.5700,-4.5900,14.1700,7.0836
2010,0.3000,8.3000,-5.2900,13.5800,4.0753
2011,3.6000,8.9400,-6.7600,15.7000,56.5211
2012,2.4000,8.8300,-8.8100,17.6400,42.3393
2013,0.0000,10.0000,-7.4800,17.4800,0.0000
2014,2.8000,7.2100,-8.5300,15.7400,44.0622
2015,1.1000,8.3300,-7.6800,16.0100,17.6102
2016,2.5000,9.2800,-8.1400,17.4200,43.5528
2017,1.1000,7.6600,-6.6100,14.2700,15.6980
2018,1.4700,8.4200,-7.4600,15.8900,23.3008
2019,1.6300,8.4200,-7.2800,15.7000,25.6419
