year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,1.2000,1.9800,-16.7000,18.6800,22.4139
1981,7.5000,4.4200,-16.1400,20.5600,154.2056
1982,4.3000,3.6900,-13.9900,17.6700,75.9871
1983,3.1000,4.4600,-13.9500,18.4100,57.0735
1984,3.0000,2.8000,-15.4100,18.2100,54.6396
1985,8.3000,4.0700,-17.3800,21.4600,178.0859
1986,2.5000,3.8900,-15.6600,19.5500,48.8755
1987,6.2000,2.6600,-15.7500,18.4100,114.1132
1988,2.0000,2.9500,-14.6800,17.6300,35.2517
1989,6.4000,5.2200,-12.2400,17.4700,111.7765
1990,11.4000,5.8800,-15.9500,21.8300,248.8788
1991,6.8000,4.0600,-14.0200,18.0800,122.9430
1992,5.2000,4.7300,-13.9800,18.7000,97.2613
1993,2.4000,4.6400,-13.7200,18.3700,44.0830
1994,10.6000,4.3900,-14.6100,19.0000,201.4264
1995,5.0000,2.9400,-13.1400,16.0800,80.3789
1996,4.0000,4.7600,-14.4000,19.1600,76.6217
1997,1.0000,5.2800,-14.2300,19.5100,19.5072
1998,3.2000,7.0800,-14.2700,21.3500,68.3110
1999,3.6000,2.4000,-14.0400,16.4400,59.1719
2000,9.8000,4.9700,-15.4500,20.4200,200.1597
2001,17.0000,4.6300,-19.6100,24.2300,411.9942
2002,2.2000,6.6600,-11.9100,18.5700,40.8560
2003,8.0000,5.9200,-15.1700,21.0900,168.7167
2004,5.9000,4.7100,-12.7700,17.4800,103.1197
2005,19.5000,4.1800,-16.8700,21.0500,410.5278
2006,3.0000,4.0200,-15.9300,19.9500,59.8587
2007,11.2000,4.3400,-12.7500,17.0900,191.4096
2008,3.9000,6.2900,-13.8900,20.1800,78.6947
2009,9.8000,6.0800,-15.1800,21.2500,208.2661
2010,8.0000,2.3900,-17.0600,19.4500,155.6278
2011,11.7000,4.5100,-16.7000,21.2100,248.1285
2012,2.0000,4.7900,-16.6900,21.4800,42.9606
2013,21.6000,3.4900,-18.6400,22.1300,478.0831
2014,8.7000,6.3700,-14.0500,20.4300,177.7267
2015,11.6000,5.5400,-13.2900,18.8300,218.4047
2016,8.8000,5.9500,-14.9400,20.8900,183.7895
2017,6.0000,6.6600,-13.3900,20.0500,120.3251
2018,9.5000,6.4000,-16.1900,22.5900,214.5951
2019,0.7000,6.4900,-12.5300,19.0200,13.3119
