year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,8.7000,13.8300,2.5900,11.2400,97.7685
1981,26.9000,16.0600,2.6900,13.3700,359.5893
1982,25.2000,15.1400,2.6600,12.4700,314.3633
1983,2.5000,15.2600,2.8000,12.4700,31.1687
1984,12.2000,14.6100,1.9500,12.6600,154.4562
1985,32.6000,14.1500,1.6400,12.5100,407.8276
1986,5.0000,15.5200,2.2100,13.3000,66.5202
1987,44.9000,13.7600,2.9100,10.8400,486.8581
1988,13.9000,14.4500,2.9900,11.4500,159.2015
1989,104.1000,14.6200,2.6400,11.9700,1246.3838
1990,44.0000,14.7300,2.4800,12.2500,539.1626
1991,15.3000,13.1300,3.6400,9.5000,145.2883
1992,19.5000,14.6200,3.0200,11.6000,226.2808
1993,34.0000,14.3800,3.0600,11.3200,384.9301
1994,15.3000,16.1300,3.4500,12.6900,194.1115
1995,7.6000,15.5700,3.6500,11.9200,90.5716
1996,8.8000,14.4700,3.0800,11.3900,100.2361
1997,14.3000,15.9700,3.6600,12.3000,175.9321
1998,13.5000,15.2200,3.5900,11.6300,157.0151
1999,4.5000,15.4700,5.3800,10.0800,45.3685
2000,16.7000,17.4900,2.8100,14.6700,245.0155
2001,46.3000,16.6200,3.3400,13.2800,614.6918
2002,22.6000,15.8800,4.6900,11.1900,252.9546
2003,43.3000,14.8100,3.0900,11.7200,507.2762
2004,35.1000,16.9700,4.2500,12.7200,446.4375
2005,41.0000,15.9400,1.4600,14.4700,593.3730
2006,43.0000,17.0300,2.4300,14.6000,627.7252
2007,13.2000,17.3700,4.2100,13.1500,173.6336
2008,26.7000,17.2500,2.6200,14.6300,390.7136
2009,6.7000,15.7500,4.2400,11.5000,77.0801
2010,18.5000,15.0000,3.4900,11.5100,213.0168
2011,26.3000,16.6300,3.2800,13.3500,351.0885
2012,4.4000,16.6500,2.6400,14.0000,61.6075
2013,22.6000,17.3200,2.7100,14.6100,330.1996
2014,20.4000,16.7000,3.9400,12.7700,260.4163
2015,10.8000,15.6700,4.3500,11.3200,122.2873
2016,2.8000,16.6200,3.6700,12.9500,36.2578
2017,26.0000,16.5900,4.9300,11.6600,303.2517
2018,41.0000,16.6900,3.1000,13.5900,557.1563
2019,31.0000,16.7500,2.7200,14.0200,434.7585
