year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,3.2000,3.5800,-10.1100,13.6900,43.8024
1981,0.6000,3.5600,-9.3700,12.9300,7.7552
1982,5.3000,2.1600,-10.5900,12.7500,67.5504
1983,2.4000,1.5700,-12.7000,14.2800,34.2654
1984,2.7000,3.1900,-11.2600,14.4500,39.0139
1985,1.0000,3.4900,-10.7900,14.2800,14.2780
1986,2.9000,2.4000,-10.6100,13.0100,37.7385
1987,1.0000,2.9800,-9.7000,12.6800,12.6793
1988,0.8000,2.8100,-8.6400,11.4500,9.1638
1989,6.5000,2.2000,-10.6000,12.8000,83.1932
1990,3.5000,2.6300,-9.1400,11.7800,41.2159
1991,2.2000,3.2200,-10.0900,13.3100,29.2857
1992,1.4000,3.6600,-11.3400,15.0000,21.0022
1993,7.7000,3.0600,-9.9100,12.9700,99.8417
1994,0.3000,3.3300,-9.3700,12.7000,3.8111
1995,4.6000,2.9600,-11.5700,14.5300,66.8372
1996,4.0000,3.8100,-10.3600,14.1700,56.6679
1997,0.6000,3.8000,-10.8600,14.6700,8.8000
1998,5.0000,4.9000,-9.8600,14.7500,73.7726
1999,2.1000,4.2000,-8.7900,12.9900,27.2881
2000,0.7000,3.1500,-10.6500,13.8000,9.6589
2001,2.3000,2.6100,-9.3700,11.9800,27.5559
2002,6.5000,4.0000,-9.5500,13.5600,88.1249
2003,0.0000,4.1100,-8.9600,13.0700,0.0000
2004,6.3000,4.4600,-10.2900,14.7500,92.9035
2005,3.6000,3.9500,-8.6500,12.6100,45.3799
2006,0.4000,3.1000,-7.7600,10.8600,4.3440
2007,7.5000,4.8300,-10.0200,14.8500,111.3536
2008,3.8000,4.3500,-10.3900,14.7400,56.0248
2009,8.4000,4.3700,-7.8400,12.2100,102.5695
2010,0.7000,4.3600,-7.6400,12.0100,8.4052
2011,2.5000,3.4300,-9.4700,12.9000,32.2400
2012,6.4000,3.6700,-10.0900,13.7600,88.0829
2013,0.1000,4.7800,-8.6100,13.3900,1.3395
2014,5.4000,4.6200,-8.6500,13.2700,71.6322
2015,6.7000,4.7200,-8.3200,13.0500,87.4093
2016,0.1000,5.1300,-9.4400,14.5600,1.4563
2017,1.5000,4.0600,-7.3100,11.3800,17.0637
2018,2.7700,4.6400,-8.1200,12.7600,35.3090
2019,2.7700,4.6400,-8.2000,12.8400,35.5314
