year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,6.9000,5.6400,-14.3800,20.0300,138.1740
1981,24.3000,7.2200,-16.1000,23.3300,566.8245
1982,7.4000,7.2200,-11.5000,18.7200,138.5003
1983,27.2000,7.7700,-12.7600,20.5400,558.6433
1984,12.2000,5.4600,-13.6300,19.0900,232.9047
1985,26.9000,6.5000,-13.9600,20.4500,550.1375
1986,12.4000,6.6400,-14.6700,21.3000,264.1511
1987,23.1000,5.9500,-12.8800,18.8200,434.8207
1988,12.9000,5.5800,-11.0100,16.5900,214.0018
1989,19.4000,8.2000,-10.6700,18.8700,366.1431
1990,28.8000,7.7700,-11.8300,19.6100,564.6247
1991,26.9000,6.3700,-12.1800,18.5500,499.0717
1992,16.9000,7.0700,-10.6100,17.6800,298.7832
1993,23.4000,7.4000,-12.3200,19.7200,461.3977
1994,15.4000,7.1000,-12.8700,19.9700,307.4882
1995,3.2000,6.1900,-10.0900,16.2900,52.1144
1996,8.2000,6.9700,-11.8400,18.8100,154.2255
1997,34.1000,7.4700,-11.9400,19.4100,661.7937
1998,12.7000,10.0000,-10.5500,20.5500,260.9436
1999,15.2000,5.9400,-10.0700,16.0100,243.3395
2000,24.0000,7.2600,-14.3100,21.5700,517.6716
2001,23.5000,7.8800,-15.7900,23.6700,556.3324
2002,10.3000,9.3700,-9.3700,18.7500,193.0737
2003,19.2000,7.9600,-12.0200,19.9800,383.6526
2004,28.8000,7.2900,-10.0300,17.3200,498.9074
2005,45.5000,6.3900,-14.1400,20.5300,934.1743
2006,42.6000,6.6700,-14.4800,21.1400,900.5969
2007,20.6000,6.3800,-8.6100,14.9900,308.7139
2008,8.9000,8.7900,-11.8800,20.6700,183.9665
2009,53.5000,7.9800,-11.1500,19.1400,1023.8323
2010,29.3000,4.4600,-13.4500,17.9100,524.7899
2011,34.0000,6.4400,-13.5000,19.9400,678.0807
2012,7.0000,7.1700,-15.1500,22.3300,156.2790
2013,40.6000,5.6100,-15.1900,20.8000,844.3839
2014,17.0000,8.8200,-11.3600,20.1700,342.9401
2015,38.0000,8.4300,-11.4400,19.8700,754.9957
2016,22.8000,8.8500,-11.1500,20.0100,456.1373
2017,50.4000,8.6800,-10.3900,19.0600,960.7616
2018,18.9000,8.8300,-13.4500,22.2800,421.0368
2019,11.5000,8.9700,-9.4900,18.4600,212.3233
