year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,5.7000,1.6700,-21.8700,23.5400,134.1883
1981,8.3000,3.0600,-19.5800,22.6400,187.9379
1982,16.5000,4.0100,-18.7000,22.7100,374.7118
1983,22.6000,4.0800,-18.4200,22.5000,508.5360
1984,15.5000,3.2400,-20.2600,23.5000,364.3109
1985,24.4000,3.6500,-20.9500,24.6100,600.3738
1986,14.3000,3.6500,-20.9600,24.6100,351.9696
1987,24.8000,1.6000,-19.6200,21.2200,526.1757
1988,25.4000,2.8800,-19.6400,22.5200,571.9241
1989,9.6000,3.9100,-16.4900,20.4000,195.8161
1990,35.6000,5.3000,-19.7900,25.0900,893.2066
1991,10.3000,3.1300,-16.9400,20.0800,206.7931
1992,17.0000,3.6900,-18.3100,22.0000,374.0199
1993,22.4000,3.6800,-17.5300,21.2100,475.1154
1994,15.4000,3.1300,-19.8500,22.9800,353.8314
1995,33.1000,2.9800,-17.7400,20.7300,686.1374
1996,9.5000,4.3500,-17.7100,22.0600,209.5485
1997,23.3000,3.4800,-18.9700,22.4500,523.0456
1998,9.0000,6.2800,-18.0300,24.3000,218.7246
1999,18.3000,1.2900,-17.9800,19.2700,352.5641
2000,27.7000,3.6600,-19.4000,23.0600,638.6647
2001,18.8000,3.8400,-22.0900,25.9300,487.5285
2002,25.3000,5.2400,-16.0800,21.3200,539.4834
2003,15.2000,5.3800,-19.1100,24.4900,372.3211
2004,46.2000,3.3000,-17.4700,20.7700,959.4899
2005,36.7000,2.2200,-19.8000,22.0300,808.4008
2006,19.6000,2.9100,-20.1800,23.0900,452.5612
2007,28.3000,3.2500,-16.1200,19.3700,548.2031
2008,22.3000,6.0300,-17.3900,23.4200,522.2792
2009,26.3000,4.1600,-18.3600,22.5200,592.2716
2010,34.1000,1.9000,-20.0900,21.9900,749.7462
2011,39.4000,3.1600,-19.1800,22.3400,880.0999
2012,15.4000,3.3600,-21.3400,24.7000,380.3193
2013,33.5000,2.8900,-21.4600,24.3500,815.7719
2014,25.1000,5.0000,-19.2500,24.2500,608.7047
2015,35.6000,4.4200,-17.6600,22.0900,786.2681
2016,37.4000,4.9200,-17.8200,22.7400,850.5730
2017,16.6000,5.3500,-16.9100,22.2700,369.6255
2018,14.0000,4.2500,-21.1900,25.4400,356.1898
2019,5.3000,5.2500,-15.0100,20.2600,107.3546
