year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,1.5000,13.7300,-1.0700,14.8000,22.1991
1981,7.0000,16.1900,-1.0600,17.2600,120.7897
1982,0.8000,16.3900,-0.1700,16.5600,13.2455
1983,0.2000,15.5500,0.0700,15.4800,3.0960
1984,1.0000,13.9700,-0.5600,14.5400,14.5377
1985,19.0000,13.7800,-1.4700,15.2500,289.6958
1986,2.2000,15.3300,-0.8800,16.2100,35.6726
1987,12.9000,14.4200,0.3900,14.0300,180.9393
1988,0.3000,14.3900,0.3000,14.0900,4.2261
1989,14.6000,15.6100,0.9000,14.7100,214.7297
1990,75.0000,14.4600,-0.7000,15.1600,1136.6576
1991,2.7000,13.3600,1.2500,12.1100,32.6995
1992,11.9000,14.9800,1.2900,13.6900,162.9538
1993,4.7000,15.1100,0.8400,14.2800,67.0989
1994,3.5000,15.8400,1.3000,14.5300,50.8600
1995,11.6000,15.4200,1.2600,14.1600,164.2753
1996,2.4000,14.6000,0.8400,13.7600,33.0171
1997,1.0000,15.7100,1.5700,14.1400,14.1376
1998,16.5000,15.5100,1.3200,14.1900,234.1135
1999,1.7000,15.4600,2.8600,12.6000,21.4234
2000,12.4000,16.8300,-0.0800,16.9100,209.6780
2001,30.5000,17.1400,0.3700,16.7800,511.7598
2002,2.6000,16.4100,3.3300,13.0900,34.0246
2003,30.7000,15.1500,0.1100,15.0400,461.5945
2004,0.1000,16.4100,2.8500,13.5600,1.3560
2005,28.1000,15.8900,-0.6100,16.5000,463.6568
2006,8.2000,16.0600,0.4900,15.5800,127.7261
2007,8.8000,16.3900,2.3400,14.0500,123.6523
2008,13.4000,16.8200,0.7900,16.0300,214.8088
2009,7.5000,16.1000,1.7000,14.4000,107.9993
2010,17.5000,14.0300,-0.3000,14.3300,250.8215
2011,14.9000,15.8900,0.5600,15.3300,228.4379
2012,7.7000,16.3900,-0.3300,16.7200,128.7094
2013,27.7000,15.6000,-1.4300,17.0300,471.6413
2014,14.2000,17.9000,1.7700,16.1300,229.0923
2015,7.2000,15.8800,1.9500,13.9300,100.3228
2016,2.6000,16.3900,0.8500,15.5400,40.4089
2017,13.7000,16.8400,1.5700,15.2700,209.1573
2018,3.2000,16.3700,0.6800,15.6900,50.2031
2019,8.6000,16.8600,0.0600,16.7900,144.4214
