year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,13.6000,3.8300,-17.2900,21.1200,287.2675
1981,47.1000,5.1200,-17.9100,23.0400,1085.0543
1982,11.5000,5.5700,-13.8600,19.4300,223.4783
1983,25.3000,6.1000,-14.9500,21.0500,532.5369
1984,10.4000,3.5400,-16.4200,19.9500,207.5270
1985,32.8000,4.5900,-15.9300,20.5200,673.0996
1986,18.4000,4.6700,-17.6000,22.2800,409.8613
1987,40.5000,4.2000,-14.6400,18.8400,763.1961
1988,15.4000,3.8200,-13.4000,17.2200,265.1984
1989,24.2000,5.9100,-13.1400,19.0500,460.9779
1990,21.0000,6.0000,-14.0100,20.0000,420.0710
1991,26.9000,4.1600,-14.1200,18.2800,491.6651
1992,20.2000,5.1000,-12.4500,17.5500,354.4769
1993,25.9000,5.1200,-13.6200,18.7400,485.2403
1994,24.7000,5.0300,-14.6300,19.6600,485.6939
1995,18.1000,4.4500,-12.9600,17.4000,315.0209
1996,11.9000,4.8200,-14.4100,19.2300,228.8953
1997,40.0000,5.2600,-13.9200,19.1700,766.8841
1998,35.0000,8.1000,-12.3900,20.4900,717.1492
1999,26.0000,4.4900,-12.4500,16.9400,440.5304
2000,44.3000,5.2000,-16.1100,21.3100,944.2229
2001,29.3000,5.8200,-16.7300,22.5500,660.6683
2002,19.8000,7.2500,-11.9300,19.1800,379.8080
2003,25.4000,6.2100,-13.8000,20.0100,508.3325
2004,53.7000,5.3400,-12.4900,17.8300,957.6643
2005,57.6000,4.5000,-15.8000,20.3000,1169.2146
2006,46.8000,4.8000,-16.1900,20.9900,982.2291
2007,32.6000,4.5500,-10.8800,15.4300,502.9849
2008,16.9000,7.1400,-13.9900,21.1400,357.1950
2009,72.0000,6.1800,-12.9300,19.1100,1375.9565
2010,43.3000,3.0900,-14.7200,17.8200,771.5150
2011,37.9000,4.8600,-15.2700,20.1300,762.7503
2012,10.7000,4.9900,-16.9400,21.9300,234.6603
2013,41.2000,3.8300,-17.1900,21.0200,866.1753
2014,22.9000,6.0800,-14.4800,20.5600,470.7333
2015,32.8000,5.9600,-13.7400,19.7000,646.2273
2016,40.7000,6.7500,-14.2500,21.0000,854.4985
2017,61.2000,6.2700,-13.1600,19.4300,1188.8854
2018,28.6300,6.4200,-16.1900,22.6100,647.4289
2019,19.0000,6.7300,-12.5300,19.2600,365.9290
