year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,10.7000,3.9200,-9.4500,13.3700,143.0652
1981,7.1000,3.4600,-7.9900,11.4500,81.3087
1982,10.8000,2.4700,-8.0800,10.5500,113.9243
1983,18.2000,1.9900,-10.4000,12.3900,225.5613
1984,15.7000,2.8900,-9.7200,12.6100,197.9252
1985,10.1000,3.4000,-8.3800,11.7800,118.9775
1986,7.3000,2.4400,-8.5800,11.0200,80.4557
1987,6.9000,3.2200,-6.8000,10.0300,69.1727
1988,14.6000,2.5000,-7.4300,9.9300,144.9577
1989,10.9000,2.4300,-8.2800,10.7100,116.7308
1990,18.3000,2.8800,-7.8100,10.6900,195.7150
1991,20.1000,3.4000,-7.4600,10.8600,218.3530
1992,9.5000,3.5700,-9.1000,12.6700,120.3504
1993,23.8000,3.5900,-8.4900,12.0800,287.5074
1994,19.5000,3.2100,-7.5100,10.7200,209.1003
1995,20.3000,2.8200,-9.0100,11.8400,240.2731
1996,9.6000,2.8000,-8.2400,11.0400,106.0113
1997,5.7000,3.8500,-8.2800,12.1400,69.1721
1998,6.2000,4.6700,-6.9600,11.6300,72.1100
1999,4.0000,4.2400,-6.4200,10.6500,42.6101
2000,11.3000,3.7300,-8.2300,11.9700,135.2110
2001,14.3000,2.8200,-7.1000,9.9200,141.8667
2002,7.7000,4.0300,-6.9300,10.9600,84.4294
2003,9.8000,3.9900,-6.7000,10.7000,104.8179
2004,9.7000,4.0200,-7.5400,11.5500,112.0600
2005,18.8000,3.5800,-6.6300,10.2100,191.9771
2006,4.0000,3.2000,-6.3400,9.5500,38.1865
2007,13.5000,4.1400,-7.9000,12.0400,162.5429
2008,25.7000,4.6300,-8.8800,13.5100,347.2515
2009,3.0000,4.0300,-6.2500,10.2700,30.8183
2010,2.0000,4.3900,-5.7800,10.1700,20.3447
2011,14.8000,3.0300,-8.4600,11.4900,170.0913
2012,24.2000,3.8600,-8.2400,12.1000,292.7769
2013,14.1000,4.7200,-6.8100,11.5300,162.6125
2014,10.2000,4.1300,-7.3900,11.5200,117.4641
2015,17.3000,4.5100,-7.0500,11.5600,200.0218
2016,9.2000,4.6200,-8.0300,12.6500,116.3933
2017,16.0000,3.3700,-5.9000,9.2700,148.3289
2018,13.0000,4.7600,-7.9200,12.6700,164.7514
2019,20.6000,4.3300,-6.9600,11.2900,232.5382
