year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,3.3000,9.9200,-4.1100,14.0300,46.3050
1981,21.9000,10.6600,-2.9800,13.6400,298.7128
1982,17.6000,9.6600,-2.6700,12.3300,217.0620
1983,5.2000,8.8200,-3.9200,12.7400,66.2516
1984,15.3000,9.7600,-4.2500,14.0100,214.3409
1985,25.4000,9.4600,-4.3800,13.8400,351.4728
1986,4.7000,9.5700,-3.3600,12.9300,60.7846
1987,17.2000,9.7500,-1.1700,10.9300,187.9179
1988,26.5000,8.6800,-3.1800,11.8600,314.3374
1989,47.8000,9.0900,-4.0200,13.1200,626.9293
1990,34.6000,9.4200,-2.6000,12.0200,415.9555
1991,15.4000,9.0200,-2.1700,11.1900,172.2843
1992,13.4000,10.3500,-3.6300,13.9800,187.3719
1993,22.9000,9.3200,-3.1900,12.5100,286.4685
1994,18.2000,10.5600,-3.1200,13.6800,249.0116
1995,23.3000,10.6800,-2.4400,13.1200,305.7326
1996,28.6000,9.0500,-4.0900,13.1400,375.7761
1997,21.7000,11.4900,-2.8100,14.3100,310.5055
1998,6.5000,10.6200,-2.7200,13.3400,86.7136
1999,0.3000,11.1200,-1.0700,12.1900,3.6582
2000,27.1000,12.1300,-3.3000,15.4300,418.1638
2001,29.5000,11.0000,-1.4900,12.4900,368.5177
2002,23.8000,10.6500,-1.5900,12.2400,291.2344
2003,35.8000,10.4200,-3.2200,13.6400,488.4149
2004,13.5000,12.0400,-2.4000,14.4300,194.8249
2005,19.5000,11.5600,-2.8900,14.4500,281.7500
2006,32.0000,11.9200,-3.3200,15.2500,487.9474
2007,18.8000,11.6500,-1.7800,13.4400,252.6284
2008,49.2000,11.8900,-4.9300,16.8200,827.4838
2009,20.6000,11.4300,-1.7900,13.2200,272.3400
2010,25.1000,10.3700,-2.1800,12.5500,315.0505
2011,27.8000,10.3600,-3.5100,13.8700,385.5189
2012,18.8000,10.9600,-3.6200,14.5800,274.1784
2013,9.0000,12.7000,-2.6800,15.3800,138.4098
2014,20.5000,11.0300,-2.4500,13.4800,276.2806
2015,18.7000,11.2100,-1.5900,12.8000,239.3361
2016,22.3000,11.7800,-2.3800,14.1600,315.7344
2017,28.4000,11.1000,0.0300,11.0600,314.2323
2018,34.5000,13.0600,-2.5900,15.6400,539.7158
2019,15.3000,11.9500,-2.3600,14.3100,218.9441
