year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,9.2000,8.1000,-11.1000,19.2000,176.6607
1981,53.0000,9.8000,-12.9400,22.7300,1204.8705
1982,7.6000,9.3800,-8.4200,17.8100,135.3417
1983,29.6000,10.0000,-8.8800,18.8900,559.0096
1984,7.9000,7.7900,-10.6100,18.4000,145.3954
1985,34.7000,8.6100,-10.4800,19.0800,662.1875
1986,15.1000,8.5600,-11.6000,20.1600,304.3967
1987,29.5000,7.9700,-8.9400,16.9100,498.8992
1988,19.5000,7.6900,-7.9600,15.6600,305.3369
1989,19.9000,10.5600,-6.7300,17.2900,344.1095
1990,31.7000,9.1900,-8.7700,17.9500,569.0954
1991,38.3000,8.7200,-9.1000,17.8200,682.4912
1992,16.6000,9.4900,-7.0500,16.5400,274.6315
1993,20.5000,9.4800,-7.6500,17.1300,351.2408
1994,24.9000,9.2300,-8.9400,18.1800,452.6080
1995,16.4000,8.4400,-7.5800,16.0100,262.6234
1996,8.5000,8.6500,-8.9500,17.6000,149.6420
1997,37.3000,9.5100,-8.2500,17.7700,662.6850
1998,21.0000,11.3000,-7.0300,18.3300,384.8600
1999,18.6000,8.7800,-6.6200,15.4000,286.5092
2000,41.3000,9.1900,-11.1800,20.3700,841.2976
2001,38.5000,9.4700,-11.3300,20.8100,801.0362
2002,22.2000,11.1200,-7.0800,18.2000,403.9585
2003,26.3000,10.1700,-8.7200,18.8800,496.6514
2004,40.5000,10.4200,-7.0600,17.4900,708.2938
2005,55.2000,8.4200,-10.8700,19.2900,1064.7827
2006,46.0000,9.3900,-9.9200,19.3100,888.3722
2007,36.0000,8.8100,-5.2100,14.0200,504.6330
2008,15.0000,10.7100,-8.6300,19.3400,290.0750
2009,62.0000,10.3600,-7.0000,17.3600,1076.3110
2010,43.2000,6.9300,-9.7600,16.6900,721.0299
2011,36.7000,9.0900,-9.8000,18.8900,693.3100
2012,10.9000,9.3400,-9.9200,19.2700,209.9933
2013,48.1000,8.2800,-10.6400,18.9200,910.2820
2014,19.0000,11.1400,-6.8000,17.9400,340.8449
2015,43.7000,10.4500,-7.8400,18.2900,799.2698
2016,42.3000,10.9700,-7.8000,18.7700,794.0926
2017,51.5000,10.9400,-6.7400,17.6800,910.7588
2018,17.3000,10.6300,-9.3800,20.0100,346.1433
2019,8.7000,10.9200,-6.8200,17.7400,154.3634
