year,S_winter_mm,T_spring_3-5C,T_winter_prev_12-1-2C,DeltaT_C,PSI
1980,18.7000,-4.7500,-19.2500,14.5000,271.1622
1981,77.8000,-3.3300,-17.8600,14.5200,1129.8007
1982,30.9000,-2.9500,-15.5100,12.5600,388.2406
1983,45.7000,-3.8800,-17.4900,13.6100,622.1602
1984,26.9000,-4.5000,-18.7600,14.2500,383.4587
1985,36.5000,-4.4000,-17.7200,13.3200,486.3396
1986,50.0000,-3.7900,-18.0900,14.3000,714.9372
1987,79.4000,-3.4200,-14.0400,10.6200,843.1724
1988,42.1000,-5.4900,-16.7500,11.2600,473.9659
1989,55.5000,-3.7400,-14.9000,11.1600,619.3679
1990,44.3000,-4.1500,-14.5500,10.4100,461.0121
1991,48.9000,-3.6000,-15.2400,11.6400,569.1405
1992,24.5000,-3.1900,-14.6200,11.4300,279.9713
1993,29.3000,-3.7800,-14.9200,11.1500,326.5506
1994,29.9000,-2.8600,-15.7800,12.9200,386.3484
1995,15.5000,-4.7400,-15.5500,10.8000,167.4154
1996,5.6000,-5.1100,-16.6100,11.5100,64.4312
1997,11.9000,-2.4700,-14.7900,12.3200,146.6129
1998,16.8000,3.0200,-12.1200,15.1400,254.3824
1999,0.0000,3.0800,-9.3500,12.4300,0.0000
2000,37.1000,2.6400,-11.8000,14.4400,535.8548
2001,28.3000,2.6400,-10.5300,13.1700,372.8422
2002,11.7000,2.6300,-9.4100,12.0400,140.9240
2003,36.3000,1.8000,-9.8200,11.6100,421.6052
2004,25.1000,3.1800,-10.5300,13.7100,344.0139
2005,28.7000,2.1000,-11.5000,13.6000,390.3845
2006,15.1000,2.6800,-11.5700,14.2600,215.3143
2007,24.7000,2.3800,-8.6500,11.0300,272.4511
2008,9.4000,2.7100,-11.6400,14.3500,134.8838
2009,11.1000,2.9400,-10.3100,13.2500,147.1267
2010,27.0000,-0.3600,-11.0200,10.6600,287.9446
2011,14.5000,0.9900,-12.1300,13.1200,190.3076
2012,3.5000,2.8700,-12.6200,15.4900,54.2165
2013,23.1000,3.5600,-11.0900,14.6500,338.4373
2014,20.1000,3.9200,-9.6300,13.5500,272.3904
2015,48.8000,2.7900,-10.4700,13.2600,647.3120
2016,41.1000,3.3800,-11.5600,14.9400,614.0272
2017,36.4000,3.1900,-8.4200,11.6100,422.4510
2018,22.9000,5.1000,-11.8900,16.9900,389.0295
2019,20.5000,3.4400,-10.4700,13.9100,285.2283
