date,station_id,省名,台站名,lat,lon,alt,year,month,day,pre,pre_type,tem_avg,tem_max,tem_min,rhu_avg,rhu_min,prs_avg,pra_max,prs_min,evp_small,evp_large,tw_calc,model_precip_type
1980-01-01,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,1,0.0,无,-12.7,-6.6,-17.2,0.67,0.55,981.2,986.7,977.5,0.5,,,无
1980-01-02,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,2,1.5,normal,-7.7,-1.7,-11.8,0.8,0.53,976.2,978.6,974.4,0.6,,-8.473196826045676,Snow
1980-01-03,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,3,0.0,无,-9.1,-4.6,-13.3,0.57,0.32,985.2,987.6,978.6,0.5,,,无
1980-01-04,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,4,0.0,无,-13.7,-6.4,-18.1,0.56,0.19,987.1,989.7,984.0,0.5,,,无
1980-01-05,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,5,0.0,无,-15.2,-5.8,-20.9,0.66,0.37,976.5,984.0,972.5,0.3,,,无
1980-01-06,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,6,0.0,无,-10.9,-6.9,-16.4,0.39,0.25,978.2,981.2,973.4,0.9,,,无
1980-01-07,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,7,0.0,无,-13.8,-5.8,-19.4,0.65,0.37,978.3,981.7,975.7,0.4,,,无
1980-01-08,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,8,0.0,无,-12.6,-5.0,-18.0,0.69,0.42,978.1,980.4,975.3,0.8,,,无
1980-01-09,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,9,0.0,无,-12.2,-5.3,-17.4,0.6,0.31,980.5,983.1,976.1,0.5,,,无
1980-01-10,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,10,0.0,无,-13.7,-7.5,-18.1,0.43,0.29,983.7,985.3,982.2,0.8,,,无
1980-01-11,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,11,0.0,无,-15.5,-6.1,-21.6,0.62,0.31,978.3,984.1,973.0,0.6,,,无
1980-01-12,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,12,0.0,无,-12.1,-1.9,-18.4,0.55,0.15,978.0,980.7,974.5,0.7,,,无
1980-01-13,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,13,0.0,无,-8.9,-1.8,-16.0,0.44,0.17,978.8,980.7,975.6,0.7,,,无
1980-01-14,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,14,0.0,无,-8.5,-3.0,-13.9,0.3,0.2,977.0,979.5,974.5,1.4,,,无
1980-01-15,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,15,0.0,无,-9.3,-1.3,-16.0,0.43,0.19,975.6,977.0,974.1,0.7,,,无
1980-01-16,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,16,0.0,无,-10.4,-6.3,-15.6,0.4,0.24,980.0,983.7,975.6,0.6,,,无
1980-01-17,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,17,0.0,无,-12.7,-6.4,-18.3,0.43,0.31,988.8,990.7,983.7,0.5,,,无
1980-01-18,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,18,0.0,无,-13.3,-8.0,-17.0,0.62,0.45,987.4,990.3,984.6,0.4,,,无
1980-01-19,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,19,0.0,无,-10.5,-3.2,-17.2,0.55,0.28,983.7,986.2,980.7,0.7,,,无
1980-01-20,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,20,0.0,无,-8.5,-2.3,-13.8,0.5,0.33,979.5,981.2,977.5,1.0,,,无
1980-01-21,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,21,0.0,无,-7.9,-2.6,-9.8,0.44,0.25,981.7,984.1,978.7,1.6,,,无
1980-01-22,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,22,0.0,无,-10.4,-0.7,-16.6,0.58,0.29,977.5,983.2,972.5,0.5,,,无
1980-01-23,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,23,0.0,无,-8.6,0.9,-14.6,0.61,0.28,978.0,980.2,973.0,0.5,,,无
1980-01-24,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,24,0.0,无,-8.4,0.2,-14.8,0.66,0.38,979.8,982.3,977.4,0.8,,,无
1980-01-25,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,25,0.0,无,-7.5,1.1,-12.9,0.7,0.41,975.1,979.0,971.0,0.8,,,无
1980-01-26,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,26,0.0,无,-4.0,3.0,-8.2,0.69,0.46,971.0,973.0,968.9,0.4,,,无
1980-01-27,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,27,0.0,无,-3.4,1.0,-7.6,0.39,0.16,976.7,980.2,970.6,1.4,,,无
1980-01-28,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,28,0.0,无,-8.1,-3.0,-11.1,0.28,0.19,982.5,984.0,980.2,1.0,,,无
1980-01-29,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,29,0.0,无,-16.2,-9.0,-18.3,0.34,0.27,985.8,987.5,982.9,1.1,,,无
1980-01-30,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,30,0.0,无,-14.4,-8.3,-19.3,0.32,0.25,983.7,988.2,980.0,1.0,,,无
1980-01-31,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,1,31,0.0,无,-12.3,-7.5,-15.6,0.31,0.26,977.7,980.8,975.4,1.0,,,无
1980-02-01,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,1,0.0,无,-11.7,-5.0,-18.5,0.36,0.17,977.2,978.8,975.5,1.4,,,无
1980-02-02,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,2,0.0,无,-10.9,-6.5,-15.9,0.3,0.23,977.9,978.6,975.8,1.4,,,无
1980-02-03,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,3,0.0,无,-13.5,-9.0,-16.5,0.29,0.25,979.1,980.5,977.5,1.2,,,无
1980-02-04,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,4,0.0,无,-14.2,-10.5,-16.7,0.29,0.27,980.6,983.2,978.0,1.0,,,无
1980-02-05,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,5,0.0,无,-14.8,-10.9,-17.7,0.3,0.25,980.8,983.4,978.4,1.3,,,无
1980-02-06,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,6,0.0,无,-14.4,-10.0,-20.6,0.35,0.26,986.8,988.3,983.4,1.1,,,无
1980-02-07,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,7,0.0,无,-13.9,-9.1,-17.0,0.35,0.28,989.1,990.4,987.3,0.7,,,无
1980-02-08,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,8,0.0,无,-11.6,-4.9,-17.8,0.34,0.24,985.9,989.2,983.1,1.1,,,无
1980-02-09,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,9,0.0,无,-9.1,0.0,-16.1,0.44,0.22,983.1,985.3,980.4,1.0,,,无
1980-02-10,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,10,0.0,无,-6.2,2.0,-13.2,0.44,0.2,980.6,982.0,978.1,1.5,,,无
1980-02-11,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,11,0.0,无,-7.4,0.4,-13.3,0.51,0.27,984.0,985.8,982.1,1.6,,,无
1980-02-12,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,12,0.0,无,-8.2,-1.6,-14.3,0.42,0.22,985.5,987.0,983.8,1.3,,,无
1980-02-13,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,13,0.0,无,-8.8,-3.6,-14.5,0.26,0.1,988.4,989.9,985.9,1.3,,,无
1980-02-14,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,14,0.0,无,-9.1,0.0,-16.9,0.29,0.08,986.0,988.1,982.5,1.5,,,无
1980-02-15,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,15,0.0,无,-8.2,2.2,-15.6,0.36,0.11,985.7,987.7,983.4,0.9,,,无
1980-02-16,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,16,0.0,无,-6.9,3.3,-14.6,0.41,0.19,986.6,988.8,984.4,1.0,,,无
1980-02-17,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,17,0.0,无,-3.3,4.8,-10.7,0.4,0.29,983.7,986.6,980.2,1.0,,,无
1980-02-18,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,18,0.5,normal,0.8,5.9,-2.3,0.64,0.3,976.0,980.4,973.9,1.5,,-1.3981596632682036,Snow
1980-02-19,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,19,0.0,无,-2.2,6.1,-9.3,0.54,0.24,979.8,981.9,976.4,1.1,,,无
1980-02-20,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,20,0.0,无,-2.9,4.6,-8.6,0.52,0.24,985.0,986.9,979.4,1.1,,,无
1980-02-21,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,21,0.0,无,-3.8,3.3,-9.3,0.57,0.42,984.9,986.9,982.0,0.7,,,无
1980-02-22,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,22,0.0,无,0.4,8.4,-4.2,0.59,0.31,979.9,983.1,977.4,1.2,,,无
1980-02-23,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,23,0.0,无,0.5,9.5,-6.4,0.57,0.29,977.4,979.6,974.3,1.2,,,无
1980-02-24,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,24,0.0,无,2.5,10.9,-5.5,0.6,0.3,978.3,980.9,976.3,1.7,,,无
1980-02-25,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,25,1.3,normal,1.8,6.5,0.7,0.8,0.48,973.0,977.5,969.5,0.6,,0.5346589537606894,Snow
1980-02-26,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,26,0.0,无,0.4,6.1,-5.3,0.61,0.25,975.0,977.6,972.4,1.8,,,无
1980-02-27,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,27,0.0,无,0.1,8.4,-8.2,0.38,0.14,969.0,973.8,965.5,1.9,,,无
1980-02-28,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,28,0.0,无,1.5,11.9,-7.2,0.37,0.18,963.9,967.1,959.2,2.8,,,无
1980-02-29,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,2,29,0.0,无,2.6,5.9,0.0,0.31,0.13,969.6,974.6,960.5,4.4,,,无
1980-03-01,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,1,0.0,无,-0.1,8.6,-8.6,0.3,0.13,973.8,976.4,970.3,2.1,,,无
1980-03-02,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,2,0.0,无,2.2,11.9,-5.8,0.3,0.14,971.3,973.1,969.4,1.5,,,无
1980-03-03,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,3,0.0,无,0.5,8.4,-6.4,0.3,0.14,977.8,980.7,970.6,2.3,,,无
1980-03-04,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,4,0.0,无,-0.4,8.3,-7.9,0.38,0.23,977.0,980.0,972.6,1.9,,,无
1980-03-05,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,5,0.0,无,0.6,8.3,-7.0,0.46,0.28,970.3,974.2,966.8,1.2,,,无
1980-03-06,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,6,0.0,无,3.0,11.1,-4.8,0.54,0.35,967.7,969.3,964.8,1.8,,,无
1980-03-07,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,7,0.1,normal,7.3,13.6,3.4,0.67,0.45,969.2,970.9,966.5,2.3,,4.626312386414182,Rain
1980-03-08,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,8,2.5,normal,0.2,8.9,-2.9,0.86,0.55,974.1,975.4,970.1,0.2,,-0.6184138157650709,Snow
1980-03-09,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,9,0.2,normal,-3.3,1.0,-5.5,0.65,0.43,977.5,980.1,974.6,1.2,,-5.037226847203233,Snow
1980-03-10,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,10,0.0,无,-3.6,0.0,-7.7,0.44,0.26,985.9,988.5,980.0,1.4,,,无
1980-03-11,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,11,0.0,无,-2.3,2.8,-6.6,0.4,0.23,985.4,987.3,982.6,1.5,,,无
1980-03-12,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,12,0.0,无,-1.7,3.8,-7.7,0.5,0.3,983.9,986.6,980.2,1.3,,,无
1980-03-13,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,13,0.5,normal,-0.4,4.5,-2.8,0.61,0.25,978.3,981.7,974.8,1.4,,-2.648672669361729,Snow
1980-03-14,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,14,0.0,无,-0.3,5.8,-7.1,0.33,0.12,979.8,982.5,976.0,2.8,,,无
1980-03-15,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,15,0.0,无,0.7,9.1,-8.1,0.4,0.15,974.6,977.6,970.6,2.2,,,无
1980-03-16,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,16,0.0,无,2.7,12.0,-5.9,0.45,0.17,972.2,974.3,970.5,2.7,,,无
1980-03-17,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,17,0.0,无,4.8,10.4,-0.8,0.45,0.26,978.4,981.3,971.3,3.6,,,无
1980-03-18,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,18,0.1,normal,0.1,5.0,-2.0,0.54,0.33,980.1,983.0,975.9,2.1,,-2.628465610878634,Snow
1980-03-19,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,19,0.0,无,1.4,9.4,-3.0,0.47,0.19,975.5,981.5,972.5,2.8,,,无
1980-03-20,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,20,0.0,无,1.9,7.3,-3.4,0.26,0.12,984.6,986.9,981.5,3.6,,,无
1980-03-21,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,21,0.0,无,0.5,5.3,-5.1,0.36,0.22,983.7,985.9,982.1,1.8,,,无
1980-03-22,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,22,0.0,无,-1.3,3.0,-3.8,0.54,0.28,981.3,983.1,978.5,1.6,,,无
1980-03-23,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,23,0.0,无,-0.3,4.4,-3.4,0.24,0.21,984.0,985.1,980.7,3.9,,,无
1980-03-24,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,24,0.0,无,1.2,9.6,-8.2,0.34,0.22,981.5,985.7,976.2,3.3,,,无
1980-03-25,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,25,0.0,无,2.3,8.8,-4.1,0.33,0.14,977.8,980.7,974.2,4.2,,,无
1980-03-26,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,26,0.0,无,6.1,17.0,-5.4,0.27,0.1,979.5,981.9,975.8,4.5,,,无
1980-03-27,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,27,0.0,无,8.4,18.9,-1.1,0.31,0.1,975.0,977.7,971.6,5.4,,,无
1980-03-28,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,28,0.0,无,10.6,19.2,1.2,0.34,0.12,971.6,974.3,967.9,7.0,,,无
1980-03-29,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,29,0.1,normal,9.7,15.6,3.4,0.54,0.3,969.5,972.3,967.5,2.8,,5.542387005005112,Rain
1980-03-30,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,30,0.1,normal,8.1,12.1,5.5,0.69,0.41,976.3,978.6,972.3,2.4,,5.524990507179726,Rain
1980-03-31,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,3,31,0.0,无,6.0,9.6,3.6,0.31,0.09,977.7,980.0,975.9,5.6,,,无
1980-04-01,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,4,1,0.0,无,4.2,8.8,-1.0,0.2,0.07,976.2,977.7,973.9,4.8,,,无
1980-04-02,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,4,2,0.0,无,5.4,14.9,-5.1,0.26,0.11,971.3,976.8,966.1,4.5,,,无
1980-04-03,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,4,3,0.0,无,11.7,21.7,5.0,0.45,0.22,964.0,967.5,961.1,4.3,,,无
1980-04-04,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,4,4,7.0,normal,12.3,22.4,6.3,0.62,0.42,967.6,971.3,963.9,3.8,,8.569729009986794,Rain
1980-04-05,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,4,5,11.7,normal,5.0,10.2,2.8,0.48,0.29,976.1,978.6,971.5,3.0,,1.1021908908420874,Rain
1980-04-06,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,4,6,0.0,无,4.9,11.5,-2.2,0.53,0.19,972.6,975.8,968.7,3.8,,,无
1980-04-07,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,4,7,0.4,normal,5.3,7.1,4.0,0.81,0.58,967.9,971.2,965.8,0.8,,3.900306993214495,Rain
1980-04-08,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,4,8,0.0,无,7.4,11.6,3.1,0.5,0.2,975.5,977.6,967.5,4.7,,,无
1980-04-09,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,4,9,0.0,无,6.0,11.9,2.5,0.33,0.3,977.6,980.9,974.1,4.2,,,无
1980-04-10,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,4,10,0.0,无,5.9,13.9,0.4,0.6,0.38,969.9,975.7,963.8,2.4,,,无
1980-04-11,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,4,11,0.6,normal,11.7,20.6,4.1,0.57,0.26,970.4,974.1,965.4,4.7,,7.538850383792739,Rain
1980-04-12,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,4,12,3.1,normal,3.5,12.1,-0.1,0.62,0.39,976.3,978.7,974.3,0.6,,0.8698227071975806,Rain
1980-04-13,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,4,13,0.0,无,2.9,8.1,-0.4,0.45,0.27,979.4,981.4,976.4,4.8,,,无
1980-04-14,54423,河北,承德,40.96666666666667,117.83333333333331,375.2,1980,4,14,0.0,无,3.8,10.1,-2.6,0.45,0.23,973.7,978.4,968.9,3.7,,,无
