station_id,year,hot_days,txx,hot_mean
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1980,23,41.4,37.23913043478261
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1981,21,39.8,37.06190476190476
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1982,22,39.5,36.64090909090908
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1983,15,38.5,36.53999999999999
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1984,12,39.8,36.38333333333333
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1985,16,38.0,36.3125
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1986,20,40.8,36.730000000000004
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1987,19,40.0,36.705263157894734
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1988,33,40.3,36.82727272727273
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1989,16,39.4,36.5875
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1990,14,40.0,37.271428571428565
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1991,39,42.2,37.64102564102564
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1992,22,39.7,37.09090909090909
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1993,7,36.9,35.67142857142857
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1994,24,41.4,36.85
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1995,21,40.0,37.08571428571429
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1996,25,38.8,36.495999999999995
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1997,38,39.4,37.01052631578947
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1998,28,38.9,36.660714285714285
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,1999,44,42.5,37.929545454545455
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2000,32,42.3,37.803125
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2001,46,41.9,37.39565217391304
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2002,49,40.1,37.087755102040816
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2003,25,38.6,36.188
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2004,29,39.9,36.734482758620686
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2005,40,42.4,37.57000000000001
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2006,36,40.4,37.036111111111104
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2007,32,39.4,36.678125
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2008,33,40.9,37.06969696969698
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2009,35,39.0,36.768571428571434
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2010,41,43.7,38.25853658536586
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2011,48,40.9,37.27708333333334
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2012,32,38.5,36.421875
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2013,27,39.1,36.52962962962963
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2014,19,40.7,37.44736842105263
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2015,22,40.3,36.727272727272734
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2016,32,42.3,37.9875
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2017,25,41.5,38.012
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2018,28,39.23333333333333,36.32261904761905
综合5要素_站点_52267_1980_2019_withptype_filled_withptype_MAM_1980_2019,2019,28,39.23333333333333,36.32261904761905
