station_id,year,SWE_total,melt_peak,peak_date
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1980,5.699999999999999,2.0,1980-04-13
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1981,19.3,7.2,1981-03-31
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1982,8.399999999999999,8.0,1982-03-28
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1983,23.3,13.100000000000001,1983-04-30
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1984,4.5,2.9,1984-04-01
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1985,5.3,2.7,1985-03-27
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1986,1.7000000000000002,0.8,1986-03-14
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1987,7.199999999999999,5.2,1987-03-28
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1988,10.5,5.6,1988-04-19
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1989,0.4,0.4,1989-03-19
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1990,16.2,6.5,1990-03-18
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1991,21.200000000000003,9.3,1991-04-08
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1992,4.1,3.2,1992-03-24
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1993,0.2,0.2,1993-04-09
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1994,7.0,6.6,1994-03-27
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1995,3.9999999999999996,3.5999999999999996,1995-03-28
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1996,9.399999999999999,4.8,1996-03-27
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1997,1.2,1.2,1997-03-13
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1998,15.8,13.6,1998-03-24
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,1999,10.4,7.2,1999-04-04
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2000,0.1,0.1,2000-03-27
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2001,1.0,0.7000000000000001,2001-03-29
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2002,3.6,2.1,2002-04-17
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2003,4.7,1.9000000000000001,2003-03-19
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2004,0.1,0.1,2004-03-21
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2005,3.2,2.4,2005-03-26
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2006,2.5,2.4000000000000004,2006-03-31
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2007,8.9,2.6,2007-03-21
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2008,14.399999999999999,7.8999999999999995,2008-03-27
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2009,6.3,4.6,2009-03-17
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2010,15.7,7.6,2010-04-16
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2011,0.0,0.0,2011-03-01
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2012,16.8,10.8,2012-03-16
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2013,11.2,4.0,2013-04-07
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2014,1.6,0.9,2014-03-17
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2015,4.6,3.4,2015-04-08
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2016,6.4,6.4,2016-03-15
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2017,0.9,0.9,2017-03-12
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2018,5.1,5.0,2018-03-12
综合5要素_站点_50948_1980_2019_withptype_filled_withptype,2019,3.3000000000000003,3.3000000000000003,2019-03-24
