station_id,year,SWE_total,melt_peak,peak_date
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1980,15.6,4.4,1980-04-05
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1981,61.3,18.0,1981-03-17
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1982,16.8,10.4,1982-03-28
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1983,10.1,7.6,1983-03-19
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1984,10.0,3.8,1984-03-22
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1985,21.700000000000003,7.6,1985-03-25
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1986,22.2,9.2,1986-03-14
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1987,33.2,10.3,1987-04-02
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1988,21.9,9.6,1988-04-06
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1989,0.2,0.2,1989-03-24
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1990,17.4,5.9,1990-04-02
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1991,5.8,1.8,1991-03-18
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1992,0.2,0.2,1992-03-09
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1993,4.1,3.7,1993-04-10
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1994,9.7,6.1000000000000005,1994-03-27
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1995,11.0,5.6,1995-03-10
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1996,18.5,6.0,1996-03-16
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1997,9.399999999999999,7.1,1997-04-02
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1998,10.5,10.5,1998-03-23
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,1999,41.8,16.599999999999994,1999-03-24
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2000,14.700000000000001,5.1000000000000005,2000-03-17
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2001,5.9,5.0,2001-03-13
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2002,18.3,11.2,2002-03-20
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2003,23.1,9.5,2003-03-29
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2004,10.2,5.7,2004-04-01
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2005,0.0,0.0,2005-03-01
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2006,7.0,3.8,2006-04-07
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2007,32.5,14.300000000000002,2007-03-22
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2008,37.2,12.0,2008-03-13
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2009,4.5,1.8,2009-03-05
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2010,51.2,10.0,2010-03-29
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2011,0.6,0.5,2011-03-10
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2012,23.999999999999996,12.4,2012-03-16
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2013,40.800000000000004,12.0,2013-04-03
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2014,2.6,2.6,2014-03-11
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2015,9.200000000000001,7.4,2015-03-15
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2016,9.9,7.7,2016-03-05
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2017,0.3,0.3,2017-03-10
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2018,20.499999999999996,7.6,2018-03-18
综合5要素_站点_54254_1980_2019_withptype_filled_withptype,2019,13.6,10.600000000000001,2019-03-24
