station_id,year,hot_days,txx,hot_mean
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1980,0,33.3,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1981,0,33.6,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1982,1,37.3,37.3
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1983,2,35.2,35.150000000000006
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1984,0,34.7,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1985,0,31.9,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1986,0,34.4,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1987,0,34.2,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1988,0,34.9,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1989,0,34.0,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1990,0,34.5,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1991,0,34.0,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1992,0,33.2,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1993,0,32.7,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1994,0,34.0,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1995,0,32.3,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1996,0,32.3,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1997,0,34.6,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1998,0,33.6,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,1999,4,36.7,36.425
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2000,6,38.1,36.5
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2001,3,39.0,36.76666666666667
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2002,1,35.7,35.7
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2003,0,32.8,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2004,1,37.7,37.7
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2005,3,36.0,35.666666666666664
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2006,0,32.8,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2007,0,33.6,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2008,0,32.4,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2009,1,35.6,35.6
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2010,1,36.0,36.0
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2011,0,33.3,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2012,0,32.5,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2013,2,35.7,35.55
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2014,1,35.1,35.1
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2015,2,36.5,35.9
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2016,0,35.0,
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2017,3,41.1,38.766666666666666
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2018,2,37.9,37.7
综合5要素_站点_54454_1980_2019_withptype_filled_withptype_MAM_1980_2019,2019,2,36.1,36.0
