station_id,year,hot_days,txx,hot_mean
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1980,4,38.1,36.575
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1981,6,36.0,35.449999999999996
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1982,12,36.8,35.80833333333333
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1983,0,33.8,
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1984,2,36.3,36.099999999999994
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1985,1,35.9,35.9
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1986,1,35.6,35.6
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1987,1,35.5,35.5
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1988,1,35.1,35.1
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1989,0,34.6,
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1990,0,33.6,
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1991,0,34.6,
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1992,0,34.3,
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1993,0,33.1,
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1994,0,35.0,
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1995,1,35.1,35.1
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1996,0,34.6,
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1997,15,38.7,36.486666666666665
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1998,0,33.2,
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,1999,3,36.6,36.166666666666664
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2000,14,38.6,36.47857142857143
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2001,10,39.4,36.440000000000005
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2002,2,35.7,35.55
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2003,3,36.6,35.9
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2004,8,39.0,36.6125
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2005,0,34.3,
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2006,0,33.8,
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2007,11,41.6,37.63636363636363
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2008,3,35.8,35.43333333333333
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2009,0,34.8,
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2010,6,37.2,36.18333333333334
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2011,3,37.3,36.86666666666667
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2012,0,33.4,
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2013,0,33.8,
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2014,1,36.8,36.8
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2015,0,34.0,
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2016,7,36.4,35.728571428571435
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2017,5,40.8,36.779999999999994
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2018,4,38.0,37.400000000000006
综合5要素_站点_54041_1980_2019_withptype_filled_withptype_MAM_1980_2019,2019,4,35.8,35.525
