year,total_precipitation,total_snow,total_rain,avg_temperature
1980,642.3,14.799999999999997,627.5,12.96311475409836
1981,461.0,11.400000000000002,449.6,13.364931506849315
1982,532.9,27.900000000000002,504.99999999999994,13.773698630136986
1983,572.1,3.5,568.5999999999999,13.855342465753424
1984,824.7,5.1,819.6,12.768579234972679
1985,813.5,16.7,796.8000000000001,13.206849315068494
1986,435.5,15.899999999999999,419.59999999999997,13.333424657534247
1987,554.2,36.49999999999999,517.7,13.851232876712329
1988,519.4,2.4,517.0,13.572131147540983
1989,494.8,52.9,441.9,13.792876712328766
1990,1137.9,29.299999999999997,1108.5999999999997,13.886849315068492
1991,717.1999999999999,49.4,667.7999999999998,13.382739726027397
1992,546.9,23.900000000000002,523.0,13.438251366120218
1993,890.6,29.8,860.8000000000001,13.327945205479452
1994,683.0,25.900000000000002,657.1,14.394794520547947
1995,722.1,1.2000000000000002,720.9,13.704657534246575
1996,534.6,5.5,529.0999999999999,13.449453551912569
1997,423.9,7.4,416.5,14.017260273972603
1998,877.4,9.4,868.0,14.637260273972604
1999,506.7,0.0,506.7000000000001,14.286575342465754
2000,529.9,25.299999999999997,504.6,14.116120218579235
2001,594.0,33.8,560.2,14.074246575342467
2002,353.5,8.6,344.9,14.567123287671233
2003,1173.9,25.099999999999998,1148.7,13.472054794520549
2004,805.4,46.6,758.8000000000001,14.302185792349729
2005,897.1999999999999,9.8,887.3999999999999,13.693698630136986
2006,766.1999999999999,15.700000000000001,750.4999999999999,14.732054794520547
2007,861.6,0.0,861.5999999999999,14.334520547945207
2008,832.5,11.4,821.1,13.650546448087432
2009,717.9,22.0,695.9,14.132602739726027
2010,765.9,12.0,753.9000000000001,13.937534246575343
2011,840.1999999999999,18.5,821.7,13.527123287671232
2012,508.3,40.2,468.1,13.675409836065572
2013,580.3,17.4,562.9,14.197808219178082
2014,551.2,17.7,533.5,14.581917808219178
2015,643.5,39.300000000000004,604.1999999999999,14.281369863013698
2016,745.9,9.4,736.4999999999997,14.750546448087432
2017,663.4,6.3,657.1,14.93013698630137
2018,686.7,12.9,673.8000000000001,15.02958904109589
2019,534.1,14.200000000000001,519.9000000000001,14.94840182648402
