year,total_precipitation,total_snow,total_rain,avg_temperature
1980,668.3,25.799999999999997,642.5000000000001,9.4132058287796
1981,403.8,24.9,378.90000000000003,9.657808219178081
1982,591.4,48.1,543.3,9.89890410958904
1983,457.9,25.9,432.0,9.727397260273973
1984,625.4,32.2,593.1999999999999,8.724772313296905
1985,639.6,25.0,614.6,9.217260273972602
1986,534.5,17.200000000000003,517.3000000000001,9.558904109589042
1987,497.40000000000003,68.3,429.1,9.966301369863013
1988,615.5,31.499999999999996,584.0000000000001,9.693169398907104
1989,517.5,73.2,441.7,9.570410958904109
1990,595.4,118.7,476.7,9.979999999999999
1991,416.8,47.39999999999999,369.40000000000003,9.776164383561644
1992,506.0,38.2,467.8,9.592896174863387
1993,579.7,78.19999999999999,501.5,9.276712328767124
1994,530.8,86.5,444.30000000000007,10.28027397260274
1995,555.3,6.000000000000001,549.3000000000001,10.104383561643836
1996,685.8333333333334,38.4,647.4333333333332,9.490528233151183
1997,320.8,23.7,297.09999999999997,10.641917808219178
1998,574.0,37.7,536.3,10.932602739726027
1999,495.9,8.700000000000001,487.2,10.730684931506849
2000,584.4,44.9,539.4999999999999,9.893715846994535
2001,477.2,58.2,419.00000000000006,10.185753424657534
2002,478.0,39.400000000000006,438.6,10.366849315068494
2003,923.8,70.3,853.5,9.556438356164383
2004,527.1,26.700000000000003,500.3999999999999,10.154371584699453
2005,634.0,15.0,619.0,10.010136986301369
2006,656.4,76.20000000000002,580.2,10.57013698630137
2007,485.6,59.10000000000001,426.50000000000006,10.436712328767124
2008,484.0,20.900000000000002,463.09999999999997,9.59672131147541
2009,473.6,83.6,390.00000000000006,10.050684931506849
2010,538.5,21.900000000000002,516.6,10.197534246575342
2011,687.2,48.300000000000004,638.9000000000001,9.431232876712329
2012,421.8,33.400000000000006,388.40000000000003,9.484972677595628
2013,608.8,29.299999999999997,579.5000000000001,11.001095890410959
2014,609.4,26.500000000000004,582.9000000000001,10.858082191780822
2015,521.6,56.99999999999999,464.59999999999997,10.756438356164383
2016,730.1,27.1,703.0,11.038524590163934
2017,605.8,22.700000000000003,583.1,11.168219178082191
2018,576.5,41.5,535.0000000000001,11.264383561643836
2019,464.2,20.4,443.80000000000007,11.376712328767123
