station_id,year,winter_snow,winter_temp,spring_temp,temp_diff,PSI,sid,region
50745,1983,6.1,-15.313333333333334,5.980434782608695,21.29376811594203,129.89198550724637,50745,东北地区
50745,1984,6.800000000000001,-17.375824175824178,4.807608695652175,22.183432871476352,150.84734352603923,50745,东北地区
50745,1985,8.100000000000001,-18.044444444444444,6.393478260869564,24.43792270531401,197.9471739130435,50745,东北地区
50745,1986,13.0,-17.70888888888889,5.665217391304348,23.37410628019324,303.8633816425121,50745,东北地区
50745,1987,8.899999999999999,-15.585555555555553,3.907608695652174,19.493164251207727,173.48916183574875,50745,东北地区
50745,1988,6.800000000000001,-16.44945054945055,4.969565217391305,21.419015766841856,145.64930721452464,50745,东北地区
50745,1989,6.8,-13.412222222222224,6.4510869565217375,19.86330917874396,135.07050241545892,50745,东北地区
50745,1990,18.599999999999998,-16.633333333333333,7.701086956521739,24.33442028985507,452.62021739130427,50745,东北地区
50745,1991,4.2,-13.494444444444447,5.767391304347825,19.261835748792272,80.89971014492755,50745,东北地区
50745,1992,12.0,-15.556043956043958,6.765217391304349,22.321261347348305,267.8551361681797,50745,东北地区
50745,1993,11.399999999999999,-14.797777777777778,6.73586956521739,21.533647342995167,245.48357971014488,50745,东北地区
50745,1994,7.899999999999999,-16.50111111111111,5.792391304347825,22.293502415458935,176.11866908212556,50745,东北地区
50745,1995,7.3,-13.244444444444444,4.91195652173913,18.156400966183575,132.5417270531401,50745,东北地区
50745,1996,13.033333333333333,-13.965934065934066,6.913043478260871,20.87897754419494,272.12267399267404,50745,东北地区
50745,1997,6.5,-14.577777777777781,7.090217391304346,21.667995169082126,140.8419685990338,50745,东北地区
50745,1998,2.3,-13.765555555555554,9.023913043478261,22.789468599033817,52.41577777777778,50745,东北地区
50745,1999,6.1,-13.35333333333333,4.465217391304348,17.818550724637678,108.69315942028983,50745,东北地区
50745,2000,17.4,-15.732967032967034,6.827173913043478,22.560140946010513,392.5464524605829,50745,东北地区
50745,2001,12.600000000000001,-20.04222222222222,6.251086956521738,26.29330917874396,331.29569565217395,50745,东北地区
50745,2002,9.1,-13.428888888888888,8.18913043478261,21.618019323671497,196.72397584541062,50745,东北地区
50745,2003,3.3,-16.178888888888892,8.290217391304347,24.469106280193238,80.74805072463768,50745,东北地区
50745,2004,10.0,-14.072527472527472,5.808695652173912,19.881223124701386,198.81223124701387,50745,东北地区
50745,2005,12.200000000000001,-17.303333333333335,5.4217391304347835,22.725072463768118,277.24588405797107,50745,东北地区
50745,2006,10.9,-18.136666666666667,5.552173913043478,23.688840579710146,258.2083623188406,50745,东北地区
50745,2007,9.8,-11.722222222222221,5.619565217391305,17.341787439613526,169.94951690821256,50745,东北地区
50745,2008,7.0,-14.240659340659343,8.456521739130434,22.69718107978978,158.88026755852846,50745,东北地区
50745,2009,15.600000000000001,-16.555555555555557,7.305434782608696,23.860990338164253,372.23144927536237,50745,东北地区
50745,2010,18.3,-18.60888888888889,3.7804347826086957,22.389323671497586,409.7246231884058,50745,东北地区
50745,2011,19.1,-18.177777777777774,5.889130434782608,24.06690821256038,459.67794685990333,50745,东北地区
50745,2012,1.5000000000000002,-16.863736263736264,6.456521739130434,23.320258002866698,34.98038700430005,50745,东北地区
50745,2013,23.5,-20.926666666666666,4.113043478260869,25.039710144927536,588.4331884057971,50745,东北地区
50745,2014,7.6000000000000005,-14.361111111111114,7.833695652173913,22.194806763285026,168.6805314009662,50745,东北地区
50745,2015,19.9,-13.665555555555557,6.18804347826087,19.853599033816426,395.08662077294684,50745,东北地区
50745,2016,15.4,-15.963736263736264,7.326086956521739,23.289823220258004,358.66327759197327,50745,东北地区
50745,2017,4.1,-14.271111111111113,8.261956521739132,22.533067632850244,92.38557729468599,50745,东北地区
50745,2018,8.7,-17.73888888888889,7.408695652173913,25.147584541062805,218.7839855072464,50745,东北地区
50745,2019,0.4,-11.21864406779661,8.06304347826087,19.28168754605748,7.712675018422992,50745,东北地区
50756.0,1980,3.2,-21.879999999999995,2.366304347826087,24.246304347826083,77.58817391304348,50756,东北地区
50756.0,1981,4.4,-18.927777777777777,4.869565217391305,23.797342995169082,104.70830917874397,50756,东北地区
50756.0,1982,11.299999999999999,-17.263333333333332,4.547826086956522,21.811159420289854,246.46610144927533,50756,东北地区
50756.0,1983,5.699999999999998,-18.783333333333335,4.6706521739130435,23.45398550724638,133.68771739130432,50756,东北地区
50756.0,1984,6.800000000000001,-20.245054945054946,3.2,23.445054945054945,159.42637362637365,50756,东北地区
50756.0,1985,10.2,-20.403333333333332,4.073913043478261,24.477246376811593,249.66791304347822,50756,东北地区
50756.0,1986,4.5,-21.127777777777776,3.8771739130434786,25.004951690821255,112.52228260869565,50756,东北地区
50756.0,1987,9.100000000000001,-19.025555555555552,1.8239130434782609,20.849468599033813,189.73016425120773,50756,东北地区
50756.0,1988,9.4,-19.853846153846153,2.8923913043478255,22.746237458193978,213.81463210702339,50756,东北地区
50756.0,1989,7.1,-17.077777777777776,4.741304347826087,21.819082125603863,154.91548309178742,50756,东北地区
50756.0,1990,21.599999999999998,-19.235555555555557,6.23586956521739,25.47142512077295,550.1827826086957,50756,东北地区
50756.0,1991,6.7,-16.625555555555557,4.244565217391304,20.870120772946862,139.82980917874397,50756,东北地区
50756.0,1992,13.4,-18.709890109890107,4.995652173913043,23.70554228380315,317.65426660296225,50756,东北地区
50756.0,1993,12.2,-18.314444444444444,5.001086956521738,23.315531400966183,284.44948309178744,50756,东北地区
50756.0,1994,8.1,-19.803333333333335,3.6445652173913046,23.447898550724638,189.92797826086957,50756,东北地区
50756.0,1995,13.0,-17.775555555555556,3.2826086956521734,21.058164251207728,273.75613526570044,50756,东北地区
50756.0,1996,3.9000000000000004,-16.215384615384618,5.855434782608696,22.070819397993315,86.07619565217394,50756,东北地区
50756.0,1997,10.2,-18.565555555555555,4.951086956521738,23.516642512077294,239.8697536231884,50756,东北地区
50756.0,1998,9.1,-16.04111111111111,7.11195652173913,23.15306763285024,210.6929154589372,50756,东北地区
50756.0,1999,13.1,-17.82111111111111,2.416304347826087,20.2374154589372,265.1101425120773,50756,东北地区
50756.0,2000,20.700000000000003,-19.192307692307693,4.680434782608696,23.87274247491639,494.16576923076934,50756,东北地区
50756.0,2001,11.600000000000001,-22.50777777777778,4.484782608695652,26.992560386473432,313.11370048309186,50756,东北地区
50756.0,2002,13.200000000000001,-15.73777777777778,6.767391304347826,22.505169082125605,297.068231884058,50756,东北地区
50756.0,2003,5.1,-17.60666666666667,6.831521739130435,24.438188405797103,124.63476086956521,50756,东北地区
50756.0,2004,22.600000000000005,-17.054945054945055,4.301086956521739,21.356032011466795,482.64632345914964,50756,东北地区
50756.0,2005,18.900000000000002,-19.24111111111111,3.4836956521739126,22.724806763285024,429.498847826087,50756,东北地区
50756.0,2006,19.200000000000003,-19.742222222222217,4.0641304347826095,23.806352657004826,457.08197101449275,50756,东北地区
50756.0,2007,18.2,-14.405555555555555,4.354347826086958,18.759903381642513,341.4302415458937,50756,东北地区
50756.0,2008,9.0,-17.16043956043956,7.070652173913044,24.231091734352603,218.07982560917344,50756,东北地区
50756.0,2009,10.9,-18.17222222222222,5.208695652173914,23.380917874396133,254.85200483091785,50756,东北地区
50756.0,2010,20.1,-20.275555555555556,2.0010869565217395,22.276642512077295,447.76051449275366,50756,东北地区
50756.0,2011,27.200000000000003,-19.983333333333334,3.9597826086956522,23.943115942028985,651.2527536231885,50756,东北地区
50756.0,2012,5.5,-20.254945054945058,4.778260869565217,25.033205924510273,137.6826325848065,50756,东北地区
50756.0,2013,23.8,-21.932222222222226,2.9804347826086954,24.912657004830923,592.921236714976,50756,东北地区
50756.0,2014,18.2,-18.65555555555556,6.253260869565217,24.908816425120776,453.3404589371981,50756,东北地区
50756.0,2015,28.6,-17.862222222222222,3.960869565217391,21.823091787439612,624.140425120773,50756,东北地区
50756.0,2016,19.7,-19.682417582417585,4.322826086956522,24.005243669374106,472.9033002866699,50756,东北地区
50756.0,2017,14.7,-18.525555555555556,5.733695652173913,24.25925120772947,356.6109927536232,50756,东北地区
50756.0,2018,20.7,-23.075555555555553,4.683695652173914,27.759251207729466,574.6165,50756,东北地区
50756.0,2019,2.5,-14.04915254237288,5.977173913043478,20.02632645541636,50.065816138540896,50756,东北地区
50758.0,1980,3.7,-20.584999999999997,3.1021739130434787,23.687173913043477,87.64254347826086,50758,东北地区
50758.0,1981,5.9,-17.865555555555556,5.616304347826087,23.481859903381643,138.5429734299517,50758,东北地区
50758.0,1982,10.1,-15.110000000000001,5.496739130434782,20.606739130434782,208.12806521739128,50758,东北地区
50758.0,1983,2.6,-17.324444444444445,5.305434782608696,22.62987922705314,58.83768599033817,50758,东北地区
50758.0,1984,4.1,-18.66923076923077,4.1,22.769230769230766,93.35384615384613,50758,东北地区
50758.0,1985,9.9,-19.085555555555555,5.038043478260869,24.123599033816426,238.82363043478261,50758,东北地区
50758.0,1986,4.5,-19.6,4.596739130434782,24.196739130434786,108.88532608695654,50758,东北地区
50758.0,1987,10.799999999999999,-17.30777777777778,2.51195652173913,19.81973429951691,214.0531304347826,50758,东北地区
50758.0,1988,11.599999999999998,-18.1043956043956,3.527173913043478,21.631569517439075,250.92620640229322,50758,东北地区
50758.0,1989,4.199999999999999,-15.466666666666667,5.430434782608696,20.89710144927536,87.7678260869565,50758,东北地区
50758.0,1990,15.399999999999999,-17.69222222222222,6.805434782608694,24.497657004830913,377.26391787439604,50758,东北地区
50758.0,1991,5.7,-15.083333333333334,4.741304347826087,19.82463768115942,113.00043478260869,50758,东北地区
50758.0,1992,11.5,-16.75384615384615,5.6499999999999995,22.40384615384615,257.6442307692307,50758,东北地区
50758.0,1993,10.799999999999999,-16.53666666666667,5.666304347826086,22.202971014492753,239.7920869565217,50758,东北地区
50758.0,1994,8.299999999999999,-18.17222222222222,4.475,22.64722222222222,187.9719444444444,50758,东北地区
50758.0,1995,7.800000000000001,-15.695555555555558,3.8249999999999997,19.520555555555557,152.26033333333336,50758,东北地区
