station_id,year,winter_snow,winter_temp,spring_temp,temp_diff,PSI
54623.0,1992,7.4,-0.6868131868131868,13.24021739130435,13.927030578117536,103.06002627806977
54623.0,1993,3.8,-0.7488888888888889,13.345652173913043,14.094541062801932,53.55925603864734
54623.0,1994,3.8000000000000003,-0.8522222222222222,13.06195652173913,13.914178743961353,52.873879227053145
54623.0,1995,7.800000000000001,-0.2188888888888889,13.117391304347828,13.336280193236718,104.0229855072464
54623.0,1996,0.8999999999999999,-1.123076923076923,13.124999999999998,14.24807692307692,12.823269230769228
54623.0,1997,8.4,-0.7188888888888891,13.851086956521739,14.569975845410628,122.38779710144928
54623.0,1998,21.900000000000002,-0.8188888888888889,13.814130434782607,14.633019323671496,320.4631231884058
54623.0,1999,0.8,0.7944444444444443,12.517391304347827,11.722946859903383,9.378357487922706
54623.0,2000,11.5,-2.210989010989011,13.678260869565216,15.889249880554228,182.72637362637363
54623.0,2001,14.000000000000002,-2.091111111111111,14.220652173913045,16.311763285024156,228.36468599033822
54623.0,2002,4.4,0.7588888888888888,14.61195652173913,13.853067632850241,60.95349758454106
54623.0,2003,8.3,-1.5855555555555558,13.741304347826086,15.326859903381642,127.21293719806764
54623.0,2004,24.2,0.24395604395604392,13.959782608695651,13.715826564739608,331.9230028666985
54623.0,2005,17.599999999999998,-1.7277777777777779,13.417391304347827,15.145169082125605,266.55497584541064
54623.0,2006,12.200000000000001,-1.8055555555555551,12.997826086956522,14.803381642512077,180.60125603864736
54623.0,2007,5.4,0.5944444444444443,13.625000000000002,13.030555555555557,70.36500000000001
54623.0,2008,8.9,-0.4912087912087912,14.423913043478262,14.915121834687053,132.74458432871478
54623.0,2009,35.8,-0.7011111111111111,14.732608695652175,15.433719806763285,552.5271690821256
54623.0,2010,23.1,-2.46,11.798913043478262,14.258913043478262,329.38089130434787
54623.0,2011,13.7,-1.7766666666666664,14.169565217391305,15.946231884057973,218.4633768115942
54623.0,2012,3.8,-1.8318681318681318,13.821739130434782,15.653607262302915,59.483707596751074
54623.0,2013,20.9,-2.755555555555555,12.46521739130435,15.220772946859904,318.114154589372
54623.0,2014,9.2,0.19222222222222227,15.655434782608692,15.46321256038647,142.2615555555555
54623.0,2015,11.3,0.39333333333333326,14.86413043478261,14.470797101449277,163.52000724637685
54623.0,2016,18.5,-0.6967032967032966,15.390217391304349,16.086920688007645,297.60803272814144
54623.0,2017,13.799999999999999,0.8988888888888888,15.829347826086956,14.930458937198066,206.0403333333333
54623.0,2018,9.2,-1.1877777777777778,14.88478260869565,16.072560386473427,147.86755555555553
54623.0,2019,1.5999999999999999,-0.271186440677966,15.660869565217391,15.932056005895356,25.491289609432567
54624.0,1980,10.2,-3.628333333333333,11.879347826086954,15.507681159420287,158.1783478260869
54624.0,1981,10.2,-3.6199999999999997,14.051086956521738,17.671086956521737,180.2450869565217
54624.0,1982,2.5,-2.4322222222222223,13.964130434782609,16.396352657004833,40.99088164251208
54624.0,1983,1.5,-2.5555555555555554,13.334782608695651,15.890338164251206,23.83550724637681
54624.0,1984,2.7,-3.4087912087912087,11.930434782608698,15.339225991399907,41.415910176779754
54624.0,1985,22.6,-3.4633333333333325,11.715217391304348,15.178550724637681,343.0352463768116
54624.0,1986,5.199999999999999,-3.628888888888889,13.084782608695654,16.713671497584542,86.9110917874396
54624.0,1987,15.700000000000001,-2.3044444444444445,12.144565217391303,14.449009661835747,226.84945169082124
54624.0,1988,5.8,-2.369230769230769,12.377173913043478,14.746404682274246,85.52914715719062
54624.0,1989,4.2,-0.8155555555555556,14.288043478260873,15.103599033816428,63.435115942029
54624.0,1990,27.799999999999997,-2.1855555555555553,12.835869565217388,15.021425120772943,417.59561835748775
54624.0,1991,6.3,-1.7811111111111109,11.760869565217394,13.541980676328505,85.31447826086958
54624.0,1992,16.3,-1.4648351648351647,13.252173913043478,14.717009077878643,239.8872479694219
54624.0,1993,3.5999999999999996,-1.1866666666666665,13.40217391304348,14.588840579710148,52.51982608695653
54624.0,1994,4.1,-1.198888888888889,13.440217391304348,14.639106280193236,60.02033574879226
54624.0,1995,5.0,-0.6255555555555554,13.223913043478262,13.849468599033818,69.24734299516909
54624.0,1996,0.7,-1.532967032967033,13.271739130434785,14.804706163401818,10.363294314381271
