year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,44.0000,4.4600,330.3000,0.5944
1981,40.3000,5.0600,589.9000,0.3454
1982,52.4000,6.3200,329.8000,1.0038
1983,12.7000,6.4200,303.6000,0.2686
1984,39.1000,4.4600,378.0000,0.4611
1985,47.3000,5.9500,320.7000,0.8779
1986,33.4000,5.5800,348.4000,0.5351
1987,39.1000,4.4300,487.5000,0.3556
1988,32.1000,4.5400,267.2000,0.5458
1989,42.9000,6.4500,336.6000,0.8224
1990,86.5000,7.3300,412.2000,1.5388
1991,47.6000,5.3900,489.6000,0.5238
1992,16.1000,5.6900,275.3000,0.3328
1993,13.7000,5.8900,293.1000,0.2750
1994,26.5000,4.7800,400.4000,0.3163
1995,27.0000,5.1700,235.9000,0.5912
1996,13.6000,6.1900,397.0000,0.2120
1997,36.2000,5.5700,326.8000,0.6169
1998,17.3000,8.7200,255.2000,0.5907
1999,31.2000,4.1000,228.9000,0.5588
2000,65.0000,5.4300,271.2000,1.3016
2001,57.9000,5.9900,198.5000,1.7464
2002,38.3000,7.8800,440.5000,0.6850
2003,7.5000,7.7800,233.4000,0.2500
2004,40.6000,5.4700,196.1000,1.1325
2005,18.7000,4.2200,316.6000,0.2493
2006,65.3000,4.7100,398.0000,0.7727
2007,83.4000,4.4400,236.3000,1.5676
2008,34.1000,7.5500,397.2000,0.6483
2009,118.3000,6.3200,376.9000,1.9847
2010,69.4000,3.4300,314.3000,0.7567
2011,31.1000,4.7000,225.8000,0.6477
2012,26.7000,5.3900,224.5000,0.6412
2013,34.6000,4.5300,446.6000,0.3513
2014,41.4000,6.8100,244.9000,1.1500
2015,65.7000,6.8500,385.1000,1.1676
2016,33.4500,6.7100,302.5000,0.7422
2017,22.8000,7.0400,275.6000,0.5823
2018,27.6000,6.6300,360.7000,0.5070
2019,42.5000,7.7800,486.5000,0.6796
