year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,6.3000,4.2800,79.5000,0.3386
1981,1.6000,6.2600,46.0000,0.2173
1982,10.3000,5.5700,27.6000,2.0698
1983,10.3000,4.6600,78.6000,0.6104
1984,10.4000,4.4400,73.0000,0.6312
1985,2.2000,3.9500,14.2000,0.6080
1986,9.7000,4.9700,58.5000,0.8228
1987,0.9000,4.7700,76.3000,0.0562
1988,25.9000,3.5500,48.4000,1.8946
1989,5.7000,5.5000,37.3000,0.8382
1990,22.0000,4.9000,103.6000,1.0402
1991,5.6000,4.8500,41.7000,0.6496
1992,19.1000,5.2400,93.8000,1.0650
1993,23.9000,4.8700,111.2000,1.0464
1994,4.7000,4.8200,40.2000,0.5623
1995,5.3000,4.6900,92.8000,0.2678
1996,4.0000,4.1700,58.6000,0.2843
1997,1.9000,7.8500,102.1000,0.1460
1998,67.3000,4.1600,95.3000,2.9322
1999,2.9000,4.3200,63.9000,0.1960
2000,1.1000,6.5600,57.9000,0.1245
2001,17.4000,5.9000,27.0000,3.7861
2002,23.6000,5.3900,35.9000,3.5350
2003,14.4000,3.4100,92.9000,0.5285
2004,13.2000,6.6700,55.6000,1.5816
2005,6.4000,6.5500,61.5000,0.6802
2006,11.6000,5.8100,17.4000,3.8496
2007,15.2000,6.1900,118.8000,0.7918
2008,16.5000,7.0600,40.3000,2.8824
2009,4.7000,7.1500,25.8000,1.2969
2010,10.7000,3.6500,45.3000,0.8605
2011,8.1000,5.6400,78.5000,0.5817
2012,7.4000,6.6100,106.5000,0.4591
2013,3.2000,8.3900,77.6000,0.3457
2014,17.4000,5.9700,93.7000,1.1074
2015,0.3000,6.5100,101.6000,0.0192
2016,8.7000,6.5800,69.6000,0.8212
2017,3.4000,6.9600,49.6000,0.4760
2018,5.3000,8.0500,109.5000,0.3895
2019,5.2000,6.9100,40.3000,0.8892
