year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,12.4000,12.6700,324.2000,0.4844
1981,5.5000,15.0800,258.6000,0.3205
1982,7.0000,15.3000,427.4000,0.2505
1983,0.4000,14.4600,229.1000,0.0252
1984,7.2000,12.8800,192.1000,0.4826
1985,6.5000,12.9500,630.5000,0.1335
1986,6.4000,14.3900,234.0000,0.3934
1987,4.7000,13.3100,298.6000,0.2095
1988,2.9000,13.4200,600.7000,0.0648
1989,5.6000,15.1200,308.9000,0.2741
1990,55.9000,13.7300,430.9000,1.7804
1991,21.8000,12.6100,497.1000,0.5529
1992,0.0000,14.2800,255.0000,0.0000
1993,4.5000,14.5000,196.5000,0.3319
1994,12.9000,14.7000,676.6000,0.2802
1995,1.5000,14.2400,679.7000,0.0314
1996,5.8000,14.1100,573.3000,0.1427
1997,13.9000,14.7700,142.5000,1.4398
1998,17.3000,14.8800,210.9000,1.2203
1999,0.2000,14.2300,184.5000,0.0154
2000,10.1000,15.5300,123.4000,1.2697
2001,24.8000,15.7300,202.9000,1.9221
2002,10.7000,15.8300,248.3000,0.6818
2003,8.5000,14.7100,173.8000,0.7192
2004,8.2000,15.3300,389.6000,0.3226
2005,7.7000,14.8900,347.6000,0.3298
2006,7.1000,14.6900,297.5000,0.3506
2007,24.6000,15.2500,329.6000,1.1379
2008,0.5000,15.8000,366.9000,0.0215
2009,4.5000,15.6900,359.9000,0.1961
2010,25.4000,13.0800,234.4000,1.4169
2011,9.2000,13.5800,319.0000,0.3915
2012,11.9000,14.2800,352.8000,0.4814
2013,10.4000,13.1300,498.6000,0.2739
2014,4.5000,15.7400,309.7700,0.2286
2015,9.0000,14.5500,264.4000,0.4950
2016,1.8000,15.1300,379.1000,0.0718
2017,5.4000,15.1700,387.9000,0.2112
2018,4.8000,14.8100,314.3000,0.2261
2019,8.3000,14.8500,311.2700,0.3959
