year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,21.6000,11.0500,203.3000,1.1733
1981,16.8000,13.0100,550.5000,0.3968
1982,2.7000,13.1600,321.2000,0.1106
1983,19.9000,12.9100,243.6000,1.0545
1984,22.0000,11.6000,621.1000,0.4107
1985,5.4000,11.2700,517.5000,0.1176
1986,17.0000,13.1000,327.9000,0.6792
1987,11.8000,11.4600,629.0000,0.2150
1988,4.3000,11.9700,495.1000,0.1039
1989,3.8000,14.2400,210.3000,0.2573
1990,29.2000,12.5100,482.7000,0.7564
1991,14.0000,11.6900,292.9000,0.5584
1992,2.6000,13.2400,355.3000,0.0969
1993,3.2000,13.3500,342.2000,0.1248
1994,13.0000,13.0600,374.6000,0.4532
1995,1.6000,13.1200,546.2000,0.0384
1996,0.7000,13.1200,264.3000,0.0347
1997,14.0000,13.8500,144.3000,1.3429
1998,18.0000,13.8100,467.3000,0.5320
1999,4.3000,12.5200,234.0000,0.2299
2000,10.0000,13.6800,351.9000,0.3886
2001,18.1000,14.2200,341.3000,0.7539
2002,2.6000,14.6100,222.6000,0.1706
2003,6.5000,13.7400,348.2000,0.2564
2004,26.2000,13.9600,331.6000,1.1026
2005,19.4000,13.4200,362.1000,0.7187
2006,12.5000,13.0000,266.6000,0.6092
2007,49.2000,13.6300,359.8000,1.8626
2008,13.9000,14.4200,414.7000,0.4833
2009,26.2000,14.7300,400.8000,0.9628
2010,37.9000,11.8000,488.1000,0.9160
2011,16.0000,14.1700,388.5000,0.5834
2012,17.0000,13.8200,584.2000,0.4021
2013,14.7000,12.4700,246.3000,0.7437
2014,6.3000,15.6600,300.4000,0.3282
2015,10.5000,14.8600,217.1000,0.7186
2016,23.7000,15.3900,566.4000,0.6439
2017,8.2000,15.8300,395.1000,0.3284
2018,23.2000,14.8800,354.2000,0.9747
2019,6.3000,15.6600,379.0000,0.2603
