year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,12.1000,5.4700,258.3000,0.2561
1981,20.6000,7.5200,335.2000,0.4619
1982,12.1000,7.0900,188.4000,0.4551
1983,24.8000,7.7500,346.0000,0.5553
1984,5.5000,6.0500,291.0000,0.1142
1985,11.4000,7.0100,446.1000,0.1791
1986,4.8000,7.1800,365.8000,0.0942
1987,14.2000,5.3400,410.9000,0.1844
1988,14.9000,5.8200,356.2000,0.2432
1989,8.4000,8.2300,227.8000,0.3035
1990,30.3000,8.3200,329.6000,0.7648
1991,24.0000,6.7500,280.1000,0.5783
1992,6.1000,7.6100,280.3000,0.1655
1993,7.9000,7.7700,253.5000,0.2420
1994,13.5000,7.0500,341.5000,0.2786
1995,7.0000,6.2500,191.8000,0.2280
1996,9.5000,7.6500,208.8000,0.3479
1997,2.3000,7.9400,215.1000,0.0849
1998,19.6000,9.9500,575.7000,0.3386
1999,13.3000,5.5800,316.9000,0.2340
2000,16.4000,7.8100,395.0000,0.3241
2001,4.6000,7.5500,175.7000,0.1975
2002,6.9000,9.6500,359.8000,0.1849
2003,5.9000,9.0700,253.2000,0.2112
2004,10.4000,7.9600,163.3000,0.5069
2005,8.0000,7.0200,428.7000,0.1309
2006,4.1000,7.1200,274.8000,0.1061
2007,13.3000,7.4100,176.4000,0.5587
2008,14.4000,9.4200,312.7000,0.4338
2009,10.6000,8.5400,184.7000,0.4899
2010,36.0000,4.7900,96.1000,1.7914
2011,3.0000,6.9400,220.1000,0.0945
2012,23.2000,7.6700,444.5000,0.4003
2013,29.5000,6.1400,366.6000,0.4942
2014,9.1000,9.2000,370.4000,0.2261
2015,33.6000,8.5700,223.1000,1.2894
2016,7.5000,9.0000,220.2000,0.3064
2017,14.0000,9.6700,355.3000,0.3810
2018,13.4000,9.0200,305.2000,0.3957
2019,22.8000,9.7000,414.1000,0.5337
