year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,77.7000,4.4900,466.3000,0.7482
1981,32.3000,5.9800,561.2000,0.3439
1982,39.0000,6.3600,303.5000,0.8171
1983,20.5000,6.8700,675.1000,0.2086
1984,36.6000,4.5800,490.6000,0.3419
1985,43.5000,5.6000,537.8000,0.4528
1986,77.5000,5.0500,592.5000,0.6600
1987,52.1000,4.4700,653.1000,0.3567
1988,62.4000,4.6100,277.3000,1.0360
1989,31.1000,6.7500,555.4000,0.3781
1990,62.8000,7.1400,425.5000,1.0536
1991,49.7000,5.2400,497.6000,0.5235
1992,30.3000,6.2000,453.3000,0.4144
1993,25.6000,6.3700,274.1000,0.5948
1994,28.2000,5.7700,545.2000,0.2985
1995,26.4000,5.1600,327.4000,0.4162
1996,23.3000,6.1700,377.4000,0.3805
1997,29.5000,6.4200,375.1000,0.5052
1998,28.1000,9.0500,501.9000,0.5068
1999,98.9000,4.4100,293.8000,1.4836
2000,70.1000,5.8700,389.0000,1.0578
2001,26.2000,6.1700,343.2000,0.4708
2002,45.2000,7.8800,619.6000,0.5751
2003,11.1000,7.1000,397.3000,0.1983
2004,74.8000,6.0700,305.1000,1.4886
2005,33.4000,4.8700,444.3000,0.3663
2006,51.6000,5.3800,400.3000,0.6932
2007,76.4000,5.2200,437.9000,0.9103
2008,17.8000,7.8100,411.6000,0.3377
2009,85.6000,6.6700,333.4000,1.7127
2010,175.7000,3.0200,514.6000,1.0319
2011,21.9000,4.9000,248.2000,0.4321
2012,61.8000,5.6400,418.5000,0.8327
2013,81.2000,4.3900,615.8000,0.5792
2014,18.5000,7.0300,261.5000,0.4971
2015,79.6000,6.9300,385.8000,1.4287
2016,61.0000,7.2400,469.4000,0.9404
2017,34.3000,6.9000,458.7000,0.5156
2018,55.3000,7.0000,622.0000,0.6223
2019,48.1000,7.7700,528.9000,0.7065
