year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,4.3000,6.1600,32.0000,0.8256
1981,3.8000,6.7000,37.2000,0.6824
1982,19.3000,4.6000,37.5000,2.3617
1983,10.8000,4.2700,37.2000,1.2369
1984,13.8000,6.1100,10.5000,7.9514
1985,20.9000,5.5400,74.1000,1.5599
1986,18.7000,2.5800,39.4000,1.2227
1987,8.5000,5.6800,35.8000,1.3455
1988,7.8000,6.0400,46.4000,1.0139
1989,7.4000,4.2700,78.7000,0.4008
1990,13.9000,4.8800,38.3000,1.7658
1991,10.0000,4.5400,21.3000,2.1216
1992,38.6000,2.8500,29.7000,3.6972
1993,6.7000,5.2900,50.7000,0.6973
1994,22.3000,5.3000,12.1000,9.6798
1995,7.9000,4.9800,69.6000,0.5645
1996,20.7000,5.0000,37.4000,2.7606
1997,1.8000,5.4600,21.4000,0.4571
1998,2.0000,6.7500,72.8000,0.1852
1999,40.8000,4.5900,34.9000,5.3521
2000,4.7000,6.2000,28.0000,1.0372
2001,9.3000,6.7300,77.4000,0.8078
2002,1.2000,6.9900,66.5000,0.1259
2003,32.0000,4.1800,25.5000,5.2269
2004,11.3000,6.7300,76.6000,0.9916
2005,25.6000,4.7400,56.3000,2.1531
2006,36.9000,6.4400,15.5000,15.2310
2007,16.3000,7.2100,76.7000,1.5304
2008,36.7000,6.7100,49.1000,5.0051
2009,6.1000,6.1000,31.5000,1.1769
2010,15.3000,7.1800,63.1000,1.7380
2011,21.9000,6.6500,16.1000,8.9898
2012,36.5000,4.1800,54.1000,2.8123
2013,7.0000,6.5800,50.2000,0.9153
2014,2.8000,5.6100,71.0000,0.2210
2015,0.3000,6.3500,73.7000,0.0258
2016,5.5000,7.4400,59.1000,0.6909
2017,23.2000,5.9900,68.7000,2.0205
2018,8.6000,6.5900,67.1700,0.8431
2019,8.6000,6.5900,67.1700,0.8431
