year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,24.5000,9.4700,333.8000,0.6948
1981,25.7000,11.0900,202.5000,1.4069
1982,7.7000,11.2700,348.8000,0.2486
1983,38.7000,11.1300,302.2000,1.4245
1984,22.8000,9.7600,377.0000,0.5902
1985,35.4000,9.1900,409.5000,0.7940
1986,21.7000,10.8200,199.0000,1.1798
1987,17.1000,9.1100,252.5000,0.6169
1988,8.2000,9.9000,283.5000,0.2863
1989,65.0000,11.3300,160.5000,4.5876
1990,49.0000,10.0600,400.3000,1.2307
1991,39.8000,9.6700,182.3000,2.1090
1992,47.8000,10.4300,200.1000,2.4914
1993,17.0000,10.5800,285.1000,0.6307
1994,20.9000,10.9200,451.4000,0.5057
1995,8.3000,10.8200,452.5000,0.1985
1996,17.6000,10.1500,529.7000,0.3373
1997,30.5000,10.7400,227.4000,1.4403
1998,40.8000,11.4600,417.5000,1.1193
1999,13.8000,10.9300,100.4000,1.5007
2000,19.3000,11.0200,148.5000,1.4306
2001,34.3000,11.3900,482.8000,0.8093
2002,8.0000,12.1500,207.5000,0.4683
2003,25.4000,10.7200,314.2000,0.8667
2004,7.1000,11.4600,354.6000,0.2293
2005,40.5000,10.5100,405.3000,1.0499
2006,23.0000,10.5000,354.3000,0.6812
2007,64.8000,11.1900,393.8000,1.8411
2008,16.1000,11.9700,344.1000,0.5601
2009,20.1000,11.6600,656.7000,0.3568
2010,60.8000,9.6100,513.5000,1.1375
2011,12.8000,10.5200,418.1000,0.3218
2012,26.3000,10.8900,436.4000,0.6563
2013,29.4000,9.5400,650.8000,0.4310
2014,11.8000,12.8000,141.9000,1.0638
2015,4.0000,11.7000,215.7000,0.2168
2016,23.6000,12.6000,396.4000,0.7501
2017,27.2000,12.5600,377.3000,0.9051
2018,36.3000,11.7200,248.5000,1.7119
2019,4.0000,12.6400,335.1000,0.1508
