year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,36.7000,13.2600,383.7000,1.2682
1981,34.0000,15.3500,321.1000,1.6253
1982,25.4000,14.8200,641.6000,0.5865
1983,4.4000,14.5700,275.5000,0.2326
1984,35.3000,13.8800,728.6000,0.6725
1985,33.4000,13.6200,235.3000,1.9318
1986,30.7000,15.1400,213.3000,2.1778
1987,53.4000,13.7700,333.8000,2.2021
1988,27.7000,14.0800,413.3000,0.9438
1989,152.2000,14.3600,556.6000,3.9253
1990,34.7000,14.2600,429.8000,1.1508
1991,81.3000,12.6500,289.6000,3.5506
1992,39.9000,14.1600,408.4000,1.3829
1993,37.4000,14.1500,301.4000,1.7554
1994,27.4000,15.8400,510.4000,0.8504
1995,1.6000,14.8900,472.8000,0.0504
1996,19.9000,14.0000,560.7000,0.4969
1997,8.9000,15.3500,295.6000,0.4619
1998,71.7000,14.8400,549.1000,1.9377
1999,31.3000,14.9400,295.5000,1.5817
2000,39.0000,16.5600,787.6000,0.8200
2001,159.1000,15.9300,414.4000,6.1163
2002,50.5000,15.3800,322.1000,2.4110
2003,40.9000,14.5800,631.9000,0.9433
2004,37.3000,16.0400,675.5000,0.8854
2005,21.7000,15.2800,501.6000,0.6609
2006,64.7000,15.9900,486.5000,2.1257
2007,5.2000,16.2300,619.3000,0.1363
2008,42.5000,16.4700,509.0000,1.3749
2009,25.7000,15.2400,364.2000,1.0751
2010,20.5000,14.3600,298.2000,0.9868
2011,38.8000,15.6400,251.9000,2.4081
2012,17.6000,16.1300,525.7000,0.5400
2013,25.8000,16.1700,262.7000,1.5880
2014,27.7000,17.0000,148.3000,3.1734
2015,13.5000,15.7800,398.2000,0.5348
2016,10.2000,16.9800,383.5000,0.4515
2017,27.6000,16.8000,434.6000,1.0666
2018,38.8000,17.2300,365.7000,1.8277
2019,25.5000,17.0600,227.6000,1.9100
