year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,39.3000,-3.6300,105.9000,-1.3452
1981,15.7000,-0.9100,198.1000,-0.0724
1982,33.3000,-2.1700,192.2000,-0.3759
1983,24.0000,-0.2100,140.1000,-0.0357
1984,37.0000,-3.8800,132.7000,-1.0805
1985,45.5000,-3.1600,140.6000,-1.0218
1986,21.1000,-2.3500,140.8000,-0.3526
1987,32.8000,-2.3000,161.1000,-0.4682
1988,40.1000,-4.9800,148.3000,-1.3446
1989,15.3000,-2.0100,209.8000,-0.1463
1990,39.3000,-1.9900,124.2000,-0.6306
1991,23.9000,-1.8400,265.2000,-0.1656
1992,35.9000,-1.3500,191.0000,-0.2530
1993,16.0000,-2.0200,197.5000,-0.1635
1994,17.4000,-1.3000,307.4000,-0.0734
1995,16.1000,-3.0900,162.1000,-0.3063
1996,63.7000,-3.1600,172.8000,-1.1657
1997,22.4000,-0.6400,188.9000,-0.0756
1998,38.7000,-0.4000,166.2000,-0.0931
1999,29.5000,-0.5800,283.5000,-0.0602
2000,61.2000,-2.0700,241.8000,-0.5244
2001,31.7000,-0.7500,172.4000,-0.1374
2002,37.3000,-1.0100,264.1000,-0.1427
2003,14.1000,-1.4400,125.9000,-0.1608
2004,22.1000,0.0100,155.1000,0.0011
2005,21.4000,-0.3400,218.6000,-0.0335
2006,27.8000,-2.2300,201.9000,-0.3067
2007,16.3000,1.4700,214.1000,0.1116
2008,30.8000,1.5300,208.9000,0.2259
2009,50.6000,0.1400,184.1000,0.0379
2010,53.6000,-2.1400,243.6000,-0.4705
2011,31.9000,-4.7700,246.3000,-0.6178
2012,22.4000,0.3200,195.0000,0.0362
2013,18.6000,0.4100,209.0000,0.0363
2014,28.5000,-1.5100,169.3000,-0.2546
2015,60.5000,-1.0700,174.1000,-0.3711
2016,37.3000,0.7500,271.4000,0.1032
2017,29.5000,-1.4400,210.6000,-0.2021
2018,38.3000,0.0400,224.9000,0.0065
2019,55.3000,-1.7200,248.6000,-0.3833
