year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,63.0000,5.6400,371.8000,0.9555
1981,57.0000,7.2200,404.2000,1.0186
1982,21.8000,7.2200,358.4000,0.4389
1983,30.1000,7.7700,564.2000,0.4147
1984,34.2000,5.4600,362.6000,0.5148
1985,32.0000,6.5000,625.5000,0.3323
1986,53.2000,6.6400,570.2000,0.6191
1987,45.8000,5.9500,417.0000,0.6530
1988,51.4000,5.5800,383.9000,0.7462
1989,20.2000,8.2000,434.1000,0.3814
1990,63.9000,7.7700,355.4000,1.3973
1991,35.3000,6.3700,424.1000,0.5302
1992,50.7000,7.0700,298.2000,1.2012
1993,17.9000,7.4000,455.3000,0.2907
1994,14.8000,7.1000,531.0000,0.1977
1995,32.0000,6.1900,699.7000,0.2831
1996,24.1000,6.9700,492.3000,0.3413
1997,61.5000,7.4700,235.6000,1.9479
1998,26.7000,10.0000,498.0000,0.5359
1999,61.1000,5.9400,377.8000,0.9599
2000,64.8000,7.2600,269.8000,1.7435
2001,27.2000,7.8800,444.2000,0.4826
2002,38.1000,9.3700,284.9000,1.2531
2003,37.5000,7.9600,494.0000,0.6044
2004,101.6000,7.2900,531.6000,1.3933
2005,22.9000,6.3900,519.4000,0.2817
2006,65.4000,6.6700,353.8000,1.2317
2007,94.0000,6.3800,358.5000,1.6711
2008,42.2000,8.7900,425.9000,0.8712
2009,57.0000,7.9800,261.6000,1.7387
2010,115.7000,4.4600,701.5000,0.7353
2011,10.8000,6.4400,344.9000,0.2016
2012,44.6000,7.1700,526.6000,0.6074
2013,72.5000,5.6100,512.2000,0.7934
2014,23.3000,8.8200,255.1000,0.8050
2015,85.2000,8.4300,309.2000,2.3211
2016,48.1000,8.8500,582.0000,0.7315
2017,32.6000,8.6800,281.0000,1.0063
2018,43.6000,8.8300,477.2000,0.8067
2019,39.0000,8.9700,426.9300,0.8192
