year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,2.6000,9.4900,21.3000,1.1525
1981,3.1000,10.9800,66.5000,0.5113
1982,4.8300,10.1000,41.6000,1.1711
1983,7.3000,9.3900,33.3300,2.0508
1984,3.4000,9.9400,43.8000,0.7700
1985,6.3000,9.3900,10.7000,5.4783
1986,0.8000,9.9300,22.7000,0.3485
1987,4.6000,10.3300,57.2000,0.8294
1988,10.2000,9.0400,28.2000,3.2579
1989,4.7000,10.4700,26.8000,1.8300
1990,12.7000,9.9200,18.6000,6.7368
1991,4.7000,9.9800,65.2000,0.7187
1992,7.5000,10.5600,66.8000,1.1842
1993,10.3000,10.2200,57.8000,1.8190
1994,4.3000,10.2500,31.5000,1.3946
1995,4.4000,9.4900,44.8000,0.9296
1996,9.3000,9.8600,64.1000,1.4284
1997,1.7000,12.1900,26.2000,0.7882
1998,11.9000,11.2400,30.9000,4.3160
1999,11.1000,11.0500,37.7000,3.2445
2000,4.4000,11.3500,30.2000,1.6480
2001,3.0000,10.9400,11.3000,2.8801
2002,3.6000,10.8900,27.3000,1.4308
2003,6.1000,10.2900,29.5000,2.1197
2004,5.1000,12.1500,65.7000,0.9415
2005,15.5000,11.4000,27.8000,6.3321
2006,13.2000,11.2600,28.6000,5.1777
2007,0.3000,11.2600,59.1000,0.0570
2008,11.6000,12.5400,23.4000,6.1917
2009,6.4000,12.1100,12.8000,6.0080
2010,22.3000,9.1900,23.9000,8.5413
2011,5.9000,10.4500,65.4000,0.9414
2012,4.1000,11.7700,43.6000,1.1044
2013,3.4000,13.3400,69.7000,0.6496
2014,1.0000,11.3500,36.2000,0.3127
2015,0.3000,11.7400,21.0000,0.1670
2016,9.1000,11.6900,75.9000,1.4001
2017,0.0000,11.2800,39.5000,0.0000
2018,3.1300,11.5700,45.4700,0.7957
2019,3.1300,11.5700,45.4700,0.7957
