year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,9.6000,10.8100,144.0000,0.7204
1981,2.5000,12.1500,254.8000,0.1192
1982,23.3000,12.5100,290.3000,1.0037
1983,4.8000,11.0200,171.8000,0.3076
1984,19.8000,10.3700,160.0000,1.2828
1985,9.0000,10.8900,242.1000,0.4048
1986,12.3000,11.5300,157.1000,0.9019
1987,13.6000,11.5600,218.8000,0.7181
1988,5.6000,10.5800,485.9000,0.1219
1989,30.2000,11.5600,281.5000,1.2394
1990,51.1000,10.9500,228.3000,2.4494
1991,69.7000,10.2300,127.3000,5.5994
1992,20.9000,11.6300,261.2000,0.9303
1993,12.3000,11.4400,250.3000,0.5621
1994,28.7000,11.8600,235.8000,1.4424
1995,1.2000,11.4700,344.9000,0.0399
1996,11.1000,10.5100,491.2000,0.2375
1997,2.1000,12.5000,138.6000,0.1893
1998,12.4000,12.9400,259.0000,0.6191
1999,1.3000,13.1900,256.5000,0.0668
2000,13.8000,13.3400,268.7000,0.6847
2001,15.8000,12.9500,178.5000,1.1457
2002,23.8000,12.9000,205.9000,1.4899
2003,31.4000,11.7300,261.8000,1.4061
2004,14.5000,13.2500,285.0000,0.6741
2005,5.8000,13.0300,151.3000,0.4990
2006,21.4000,13.4700,279.4000,1.0316
2007,17.5000,12.9100,273.7000,0.8250
2008,6.4000,13.0400,172.9000,0.4825
2009,11.6000,13.5700,351.0000,0.4485
2010,14.4000,11.1200,181.8000,0.8806
2011,10.4000,12.0500,266.3000,0.4705
2012,11.9000,13.4600,279.2000,0.5733
2013,22.3000,13.4800,313.5000,0.9584
2014,8.0000,13.6600,235.3000,0.4641
2015,18.7000,13.1000,169.9000,1.4405
2016,16.4000,13.1200,355.1000,0.6059
2017,13.6000,13.3700,309.9000,0.5864
2018,8.7000,14.5800,243.6000,0.5205
2019,3.4000,13.2300,130.6000,0.3441
