year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,14.8000,12.7400,342.5000,0.5504
1981,11.4000,14.9200,382.9000,0.4441
1982,27.9000,14.9600,339.6000,1.2288
1983,3.5000,14.6200,181.1000,0.2825
1984,5.1000,13.2200,453.4000,0.1487
1985,16.7000,13.3400,423.4000,0.5262
1986,15.9000,14.2000,292.3000,0.7719
1987,22.1000,13.7100,277.0000,1.0936
1988,2.4000,13.5700,408.4000,0.0797
1989,52.9000,14.2200,336.2000,2.2371
1990,29.3000,13.7200,761.9000,0.5275
1991,49.4000,12.6000,462.2000,1.3459
1992,23.9000,13.8900,234.3000,1.4167
1993,15.3000,13.8000,603.7000,0.3496
1994,25.9000,14.7400,359.2000,1.0629
1995,1.2000,13.9400,586.5000,0.0285
1996,3.9000,13.5000,325.7000,0.1616
1997,1.0000,14.6600,182.6000,0.0802
1998,9.4000,14.3300,600.5000,0.2243
1999,0.0000,14.7000,280.9000,0.0000
2000,16.9000,14.8600,314.3000,0.7990
2001,33.8000,15.1800,464.5000,1.1046
2002,8.6000,15.1400,117.5000,1.1073
2003,14.8000,14.0500,650.5000,0.3197
2004,11.5000,15.2800,567.1000,0.3098
2005,9.8000,14.4600,377.5000,0.3753
2006,15.7000,15.1800,588.2000,0.4052
2007,0.0000,15.1200,590.6000,0.0000
2008,11.4000,14.9700,591.8000,0.2883
2009,1.6000,14.9300,522.4000,0.0457
2010,12.0000,13.2500,585.3000,0.2717
2011,18.5000,14.1000,361.9000,0.7207
2012,40.2000,15.3400,326.3000,1.8892
2013,17.4000,14.7500,327.7000,0.7829
2014,17.7000,16.5600,282.2000,1.0386
2015,6.0000,14.8600,346.1000,0.2576
2016,7.6000,15.9600,511.8000,0.2369
2017,6.3000,15.8800,432.1000,0.2314
2018,12.9000,16.6300,425.7000,0.5038
2019,14.2000,15.6800,353.2000,0.6304
