year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,11.8000,5.0600,280.6000,0.2127
1981,8.4000,7.3000,266.6000,0.2299
1982,11.8000,6.9800,221.8000,0.3710
1983,17.7000,7.5700,312.7000,0.4283
1984,5.9000,5.8900,277.4000,0.1253
1985,7.3000,7.1200,345.3000,0.1504
1986,6.1000,6.9600,482.4000,0.0880
1987,7.0000,5.3100,347.9000,0.1068
1988,16.4000,5.9000,304.5000,0.3178
1989,14.7000,8.0100,189.1000,0.6223
1990,17.1000,8.3000,419.3000,0.3386
1991,89.9000,6.5600,298.2000,1.9760
1992,1.2000,7.5200,242.3000,0.0372
1993,9.6000,7.5400,395.1000,0.1831
1994,10.0000,6.9100,272.8000,0.2534
1995,11.8000,6.0000,131.2000,0.5396
1996,17.1000,7.6900,320.0000,0.4108
1997,0.7000,7.9100,140.9000,0.0393
1998,6.2000,9.9400,601.8000,0.1023
1999,11.3000,5.2700,249.9000,0.2381
2000,7.1000,7.8400,190.5000,0.2922
2001,5.7000,7.7100,80.1000,0.5480
2002,14.8000,9.4500,218.8000,0.6386
2003,11.7000,9.0400,321.1000,0.3293
2004,7.6000,7.9000,107.8000,0.5565
2005,9.1000,7.0500,256.2000,0.2502
2006,3.3000,7.0000,248.2000,0.0931
2007,10.7000,7.2200,188.8000,0.4091
2008,5.1000,9.4100,278.1000,0.1726
2009,7.4000,8.5100,186.3000,0.3379
2010,12.8000,4.8800,244.5000,0.2555
2011,1.7000,7.1500,249.1000,0.0488
2012,9.9000,7.6900,278.1000,0.2735
2013,28.0000,6.2700,375.7000,0.4672
2014,6.3000,8.9300,280.9000,0.2001
2015,52.9000,7.8900,177.2000,2.3538
2016,1.8000,9.2100,272.1000,0.0609
2017,6.5000,9.7600,211.1000,0.3003
2018,12.2000,9.0100,306.9000,0.3579
2019,13.2000,9.5300,200.7000,0.6262
