year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,26.7000,7.9900,155.0000,1.3749
1981,8.0000,9.0200,171.9000,0.4194
1982,30.6000,7.9400,114.2000,2.1246
1983,41.2000,6.6800,188.9000,1.4565
1984,27.7000,7.5600,246.9000,0.8480
1985,6.0000,8.0200,209.1000,0.2301
1986,11.2000,7.7900,248.9000,0.3502
1987,8.5000,7.8700,145.3000,0.4600
1988,34.3000,7.1900,183.5000,1.3437
1989,33.5000,7.5100,266.7000,0.9435
1990,46.1000,7.5600,165.0000,2.1118
1991,43.3000,7.5900,154.7000,2.1231
1992,21.8000,8.0500,176.5000,0.9933
1993,29.9000,7.9700,223.3000,1.0664
1994,19.6000,8.5200,336.8000,0.4956
1995,13.7000,7.6600,272.2000,0.3853
1996,37.8000,6.7200,315.6000,0.8042
1997,5.4000,9.2600,148.6000,0.3361
1998,7.3000,9.1700,224.5000,0.2980
1999,9.3000,8.5900,241.0000,0.3315
2000,11.2000,9.3200,227.6000,0.4586
2001,14.4000,7.8300,150.4000,0.7495
2002,12.3000,8.5700,112.1000,0.9397
2003,14.0000,8.4800,197.8000,0.6002
2004,18.5000,9.3300,148.4000,1.1624
2005,13.5000,9.0000,224.8000,0.5400
2006,23.1000,8.7800,134.8000,1.5032
2007,26.8000,9.0800,329.8000,0.7374
2008,21.3000,9.9500,186.4000,1.1361
2009,23.1000,9.2900,197.6000,1.0850
2010,17.3000,7.9800,134.3000,1.0272
2011,12.2000,8.0200,123.5000,0.7917
2012,19.2000,8.7900,197.8000,0.8525
2013,14.4000,10.6600,229.8000,0.6675
2014,24.0000,9.1500,172.0000,1.2755
2015,14.8000,9.3800,102.3000,1.3555
2016,7.2000,9.5800,149.9000,0.4600
2017,39.4000,8.6000,251.3000,1.3476
2018,21.2000,10.6500,403.3000,0.5595
2019,10.5000,9.6800,297.6000,0.3414
