year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,9.1000,13.0100,242.8000,0.4872
1981,5.5000,14.7100,285.2000,0.2836
1982,13.5000,13.9000,317.7000,0.5907
1983,0.6000,12.8700,170.1000,0.0454
1984,24.7000,13.1600,247.2000,1.3147
1985,9.5000,13.0500,220.1000,0.5632
1986,9.3000,13.5700,154.3000,0.8172
1987,34.6000,13.2700,176.6000,2.5979
1988,6.3000,13.0200,424.4000,0.1932
1989,43.4000,13.6000,253.8000,2.3247
1990,34.5000,13.0500,241.3000,1.8646
1991,39.3000,12.7200,128.2000,3.8962
1992,11.9000,13.8600,261.4000,0.6308
1993,5.0000,13.6600,319.2000,0.2139
1994,16.8000,14.1600,283.2000,0.8396
1995,0.0000,13.9400,276.4000,0.0000
1996,11.9000,12.8500,341.5000,0.4476
1997,3.9000,14.8000,114.8000,0.5023
1998,2.5000,14.6700,356.9000,0.1027
1999,11.5000,14.9100,170.6000,1.0042
2000,10.5000,15.9900,254.4000,0.6597
2001,21.2000,15.1700,159.1000,2.0195
2002,24.2000,14.8800,156.5000,2.2994
2003,13.4000,14.3500,394.8000,0.4869
2004,12.4000,15.9800,321.8000,0.6154
2005,5.0000,16.0900,209.2000,0.3844
2006,15.8000,15.6800,348.3000,0.7111
2007,2.5000,15.7200,219.7000,0.1789
2008,19.8000,16.1100,169.5000,1.8810
2009,4.1000,15.6000,184.5000,0.3466
2010,7.5000,14.1100,317.6000,0.3332
2011,12.9000,14.6400,198.0000,0.9533
2012,8.6000,15.4800,290.3000,0.4584
2013,3.9000,16.5100,358.7000,0.1795
2014,23.2000,16.0700,235.6000,1.5813
2015,13.7000,15.8600,100.6000,2.1572
2016,2.3000,15.9500,225.3000,0.1627
2017,8.6000,16.1100,351.5000,0.3940
2018,12.4000,17.3800,234.7000,0.9177
2019,12.5000,16.5500,176.5000,1.1715
