year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,23.4000,4.5000,188.2000,0.5593
1981,11.9000,6.9400,570.9000,0.1446
1982,12.6000,6.5900,228.3000,0.3637
1983,24.1000,6.8800,344.4000,0.4816
1984,12.8000,5.1700,376.5000,0.1757
1985,10.9000,6.1500,477.7000,0.1404
1986,8.7000,6.0000,258.3000,0.2021
1987,17.1000,4.4100,393.0000,0.1918
1988,33.5000,4.8400,334.6000,0.4848
1989,7.5000,7.1800,362.5000,0.1485
1990,31.2000,7.4300,274.9000,0.8431
1991,5.1000,6.1200,376.0000,0.0829
1992,7.6000,6.8400,395.7000,0.1314
1993,9.5000,6.8100,446.7000,0.1447
1994,8.1000,5.9300,341.7000,0.1406
1995,6.2000,5.4000,142.9000,0.2342
1996,2.5000,7.2800,413.7000,0.0440
1997,4.2000,6.9800,277.1000,0.1057
1998,18.0000,9.1200,440.4000,0.3727
1999,16.3000,4.4800,313.9000,0.2328
2000,18.7000,6.8500,175.9000,0.7277
2001,8.1000,6.5800,175.1000,0.3042
2002,4.6000,8.9400,402.4000,0.1021
2003,4.9000,8.3200,354.1000,0.1151
2004,13.6000,6.9100,258.4000,0.3636
2005,13.9000,5.6200,502.4000,0.1554
2006,7.1000,6.2000,219.3000,0.2006
2007,23.2000,6.2500,191.6000,0.7563
2008,20.3000,8.9400,229.6000,0.7898
2009,22.4000,7.7900,320.5000,0.5440
2010,42.2000,3.9800,187.7000,0.8935
2011,5.2000,5.9100,332.9000,0.0923
2012,18.1000,7.0200,266.8000,0.4760
2013,31.0000,4.9500,418.0000,0.3668
2014,20.6000,8.3800,359.0000,0.4805
2015,36.0000,7.2400,323.5000,0.8053
2016,8.9000,7.9500,209.2000,0.3382
2017,14.7000,8.6100,375.2000,0.3373
2018,23.5000,7.8100,378.4000,0.4852
2019,28.2000,8.5500,355.1000,0.6785
