year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,21.6000,5.5200,343.1000,0.3472
1981,24.0000,7.6400,327.1000,0.5606
1982,36.5000,7.0700,186.4000,1.3832
1983,25.5000,8.0400,479.9000,0.4270
1984,8.2000,6.0100,344.3000,0.1430
1985,9.3000,6.6800,406.2000,0.1528
1986,6.4000,7.1200,316.9000,0.1437
1987,18.0000,5.5900,287.1000,0.3506
1988,13.1000,5.8100,317.8000,0.2396
1989,10.6000,8.4100,240.7000,0.3703
1990,44.7000,8.2500,398.0000,0.9263
1991,9.7000,6.5400,289.8000,0.2190
1992,8.9000,7.6600,355.6000,0.1916
1993,12.8000,7.7100,203.6000,0.4845
1994,18.1000,7.2000,567.9000,0.2294
1995,12.7000,6.3300,252.4000,0.3186
1996,31.5000,7.4200,201.8000,1.1579
1997,7.5000,8.0800,349.6000,0.1733
1998,22.2000,10.0000,353.5000,0.6278
1999,18.2000,5.9200,241.8000,0.4452
2000,27.3000,8.0400,268.3000,0.8177
2001,7.0000,7.8100,201.9000,0.2705
2002,15.6000,9.8100,195.8000,0.7814
2003,8.6000,9.1000,340.6000,0.2296
2004,9.2000,8.3200,273.1000,0.2803
2005,8.4000,7.0000,326.5000,0.1800
2006,13.0000,7.1900,189.1000,0.4938
2007,17.8000,7.6600,196.2000,0.6947
2008,37.8000,9.6700,229.3300,1.5927
2009,17.4000,8.9800,167.5000,0.9326
2010,48.9000,5.0600,194.0000,1.2753
2011,2.9000,7.3100,228.2000,0.0928
2012,33.7000,7.8000,361.2000,0.7272
2013,49.0000,5.9200,270.2000,1.0729
2014,9.1000,9.1800,176.6000,0.4727
2015,35.1000,8.8800,208.0000,1.4977
2016,12.6000,9.0700,288.2000,0.3964
2017,10.5000,9.4800,325.6000,0.3056
2018,18.1000,9.0500,322.0000,0.5084
2019,28.3000,9.6800,423.5300,0.6464
